rank_i,host_i,cpu_i,affinity_i,rank_j,host_j,cpu_j,affinity_j,small_bytes,large_bytes,warmup,iters,latency_min_us,latency_mean_us,latency_median_us,latency_max_us,bandwidth_median_gbps,bandwidth_mean_gbps
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",1,"n23m0153.hpc.itc.rwth-aachen.de",1,"1",64,4194304,10,50,0.1525,0.22101,0.18375,0.484,11.856,11.81
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",2,"n23m0153.hpc.itc.rwth-aachen.de",2,"2",64,4194304,10,50,0.1735,0.25415,0.205,0.6845,11.5096,11.4739
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",3,"n23m0153.hpc.itc.rwth-aachen.de",3,"3",64,4194304,10,50,0.1675,0.23043,0.18525,0.5765,11.8447,11.8058
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",4,"n23m0153.hpc.itc.rwth-aachen.de",4,"4",64,4194304,10,50,0.172,0.30909,0.2,3.224,11.747,11.8326
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",5,"n23m0153.hpc.itc.rwth-aachen.de",5,"5",64,4194304,10,50,0.174,0.24204,0.19075,0.598,11.5353,11.4717
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",6,"n23m0153.hpc.itc.rwth-aachen.de",6,"6",64,4194304,10,50,0.175,0.24457,0.1965,0.5715,11.5356,11.4527
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",7,"n23m0153.hpc.itc.rwth-aachen.de",7,"7",64,4194304,10,50,0.1695,0.2512,0.21625,0.635,11.978,11.9459
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",8,"n23m0153.hpc.itc.rwth-aachen.de",8,"8",64,4194304,10,50,0.176,0.24465,0.1985,0.481,11.6189,11.5218
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",9,"n23m0153.hpc.itc.rwth-aachen.de",9,"9",64,4194304,10,50,0.1745,0.24237,0.19475,0.606,11.6028,11.4919
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",10,"n23m0153.hpc.itc.rwth-aachen.de",10,"10",64,4194304,10,50,0.179,0.25295,0.195,0.5745,11.796,11.873
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",11,"n23m0153.hpc.itc.rwth-aachen.de",11,"11",64,4194304,10,50,0.1825,0.30471,0.19725,3.718,11.367,11.4824
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",12,"n23m0153.hpc.itc.rwth-aachen.de",12,"12",64,4194304,10,50,0.1925,0.25464,0.21225,0.5835,11.0356,11.1069
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",13,"n23m0153.hpc.itc.rwth-aachen.de",13,"13",64,4194304,10,50,0.1925,0.2506,0.20475,0.626,11.614,11.4843
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",14,"n23m0153.hpc.itc.rwth-aachen.de",14,"14",64,4194304,10,50,0.1945,0.26937,0.212,0.5475,11.0877,11.1638
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",15,"n23m0153.hpc.itc.rwth-aachen.de",15,"15",64,4194304,10,50,0.1985,0.34296,0.252,3.075,10.9895,11.1118
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",16,"n23m0153.hpc.itc.rwth-aachen.de",16,"16",64,4194304,10,50,0.191,0.2526,0.21475,0.458,11.4154,11.5079
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",17,"n23m0153.hpc.itc.rwth-aachen.de",17,"17",64,4194304,10,50,0.193,0.33965,0.227,3.3495,11.1479,11.1658
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",18,"n23m0153.hpc.itc.rwth-aachen.de",18,"18",64,4194304,10,50,0.194,0.23581,0.20925,0.452,11.4247,11.5259
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",19,"n23m0153.hpc.itc.rwth-aachen.de",19,"19",64,4194304,10,50,0.195,0.33348,0.23025,3.614,11.4502,11.5306
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",20,"n23m0153.hpc.itc.rwth-aachen.de",20,"20",64,4194304,10,50,0.2015,0.24506,0.21425,0.503,10.9686,11.0826
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",21,"n23m0153.hpc.itc.rwth-aachen.de",21,"21",64,4194304,10,50,0.2035,0.26252,0.219,0.4795,10.946,10.821
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",22,"n23m0153.hpc.itc.rwth-aachen.de",22,"22",64,4194304,10,50,0.199,0.23741,0.20675,0.6435,11.3809,11.4746
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",23,"n23m0153.hpc.itc.rwth-aachen.de",23,"23",64,4194304,10,50,0.194,0.22568,0.2015,0.448,10.9682,11.0955
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",24,"n23m0153.hpc.itc.rwth-aachen.de",24,"24",64,4194304,10,50,0.205,0.24751,0.22025,0.66,11.0831,11.1546
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",25,"n23m0153.hpc.itc.rwth-aachen.de",25,"25",64,4194304,10,50,0.2055,0.25697,0.22625,0.488,11.0547,11.1411
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",26,"n23m0153.hpc.itc.rwth-aachen.de",26,"26",64,4194304,10,50,0.2135,0.25236,0.22675,0.51,10.825,10.9136
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",27,"n23m0153.hpc.itc.rwth-aachen.de",27,"27",64,4194304,10,50,0.1925,0.24445,0.211,0.4435,11.0878,11.1796
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",28,"n23m0153.hpc.itc.rwth-aachen.de",28,"28",64,4194304,10,50,0.2065,0.24657,0.21925,0.5135,11.0636,11.18
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",29,"n23m0153.hpc.itc.rwth-aachen.de",29,"29",64,4194304,10,50,0.2075,0.23947,0.2195,0.477,10.8992,10.9993
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",30,"n23m0153.hpc.itc.rwth-aachen.de",30,"30",64,4194304,10,50,0.2075,0.243,0.22375,0.51,11.1159,11.2041
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",31,"n23m0153.hpc.itc.rwth-aachen.de",31,"31",64,4194304,10,50,0.2055,0.24769,0.218,0.505,11.0897,11.1793
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",32,"n23m0153.hpc.itc.rwth-aachen.de",32,"32",64,4194304,10,50,0.212,0.26141,0.22625,0.5095,10.8887,10.9772
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",33,"n23m0153.hpc.itc.rwth-aachen.de",33,"33",64,4194304,10,50,0.2005,0.25447,0.218,0.645,11.0909,11.2086
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",34,"n23m0153.hpc.itc.rwth-aachen.de",34,"34",64,4194304,10,50,0.209,0.2863,0.23375,0.682,11.0434,11.1586
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",35,"n23m0153.hpc.itc.rwth-aachen.de",35,"35",64,4194304,10,50,0.204,0.24417,0.217,0.576,10.9224,11.0058
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",36,"n23m0153.hpc.itc.rwth-aachen.de",36,"36",64,4194304,10,50,0.22,0.26803,0.2335,0.49,10.2964,10.3118
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",37,"n23m0153.hpc.itc.rwth-aachen.de",37,"37",64,4194304,10,50,0.233,0.30329,0.2485,0.958,10.2438,10.3378
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",38,"n23m0153.hpc.itc.rwth-aachen.de",38,"38",64,4194304,10,50,0.234,0.28731,0.248,0.725,10.0888,10.148
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",39,"n23m0153.hpc.itc.rwth-aachen.de",39,"39",64,4194304,10,50,0.221,0.28688,0.23275,0.7405,10.2249,10.3312
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",40,"n23m0153.hpc.itc.rwth-aachen.de",40,"40",64,4194304,10,50,0.232,0.27746,0.244,0.6005,10.0936,10.1673
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",41,"n23m0153.hpc.itc.rwth-aachen.de",41,"41",64,4194304,10,50,0.233,0.27321,0.24425,0.532,9.94268,10.0595
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",42,"n23m0153.hpc.itc.rwth-aachen.de",42,"42",64,4194304,10,50,0.226,0.30277,0.2505,0.7175,10.2665,10.3323
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",43,"n23m0153.hpc.itc.rwth-aachen.de",43,"43",64,4194304,10,50,0.2245,0.28229,0.238,0.7135,10.1792,10.2889
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",44,"n23m0153.hpc.itc.rwth-aachen.de",44,"44",64,4194304,10,50,0.234,0.28567,0.24825,0.546,10.5798,10.6751
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",45,"n23m0153.hpc.itc.rwth-aachen.de",45,"45",64,4194304,10,50,0.233,0.29769,0.2465,0.564,10.1784,10.2737
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",46,"n23m0153.hpc.itc.rwth-aachen.de",46,"46",64,4194304,10,50,0.2345,0.27629,0.24575,0.531,9.46742,9.5664
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",47,"n23m0153.hpc.itc.rwth-aachen.de",47,"47",64,4194304,10,50,0.2555,0.29782,0.268,0.579,8.85558,8.85925
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",48,"n23m0153.hpc.itc.rwth-aachen.de",48,"48",64,4194304,10,50,0.7695,1.16956,1.20425,1.5295,9.93286,9.97051
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",49,"n23m0153.hpc.itc.rwth-aachen.de",49,"49",64,4194304,10,50,0.4285,1.04372,1.008,1.9105,10.3842,10.3948
0,"n23m0153.hpc.itc.rwth-aachen.de",0,"0",50,"n23m0153.hpc.itc.rwth-aachen.de",50,"50",64,4194304,10,50,0.5525,1.22203,1.0705,6.03,10.2048,10.2079
