rank,hostname,cpu_id,cpu_affinity,cpu_numa_node,gpu_id,gpu_pci_bus_id,gpu_pci_numa_node,status,payload_bytes,payload_type,direction,iters,host_buf_numa_node,lat_min_us,lat_p25_us,lat_median_us,lat_p75_us,lat_iqr_us,lat_max_us,lat_mean_us,lat_stddev_us,bw_gibs_min,bw_gibs_p25,bw_gibs_median,bw_gibs_p75,bw_gibs_iqr,bw_gibs_max,bw_gibs_mean,bw_gibs_stddev,bw_gbps_median,gpu_dma_time_median_us
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,0,12.442,13.2625,13.6545,13.9277,0.66525,22.886,13.8321,1.50261,0.166683,0.273892,0.279375,0.287631,0.0137381,0.306598,0.27805,0.0213012,0.299977,7.456
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,0,11.924,12.583,13.041,13.3405,0.7575,14.202,13.037,0.52828,0.268603,0.285949,0.292516,0.303165,0.0172161,0.319918,0.293081,0.0117612,0.314086,6.816
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",16777216,"bandwidth","H2D",50,0,340.452,565.366,615.089,676.289,110.923,841.29,592.654,132.525,18.5727,23.104,25.4028,27.637,4.53296,45.8949,28.133,8.13146,27.2761,608.576
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",16777216,"bandwidth","D2H",50,0,429.538,723.62,809.059,910.635,187.015,1150.47,788.61,187.975,13.5814,17.1584,19.3126,21.5929,4.43451,36.3763,21.3437,6.66983,20.7367,802.096
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,0,1495.1,1502.42,1588.83,1591.04,88.6193,1595.34,1558.46,42.7985,39.1766,39.2826,39.3371,41.5997,2.31707,41.8034,40.1345,1.12011,42.2379,1582.75
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,0,1878.11,1889.93,1994.23,2000.92,110.99,2009.87,1958.53,54.2036,31.0966,31.2356,31.3403,33.07,1.83438,33.2782,31.9366,0.898335,33.6514,1988.16
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,0,5950.2,5958,5962.4,5967.34,9.34,5973.7,5962.75,5.71626,41.8501,41.8947,41.9294,41.9604,0.0656758,42.0154,41.927,0.0401917,45.0214,5956.32
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,0,7522.16,7533.54,7536.64,7540.2,6.6565,7554.48,7537.25,6.42691,33.0929,33.1556,33.1713,33.1849,0.0292957,33.2351,33.1686,0.0282796,35.6174,7530.61
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,1,0000:2c:00.0,2,"OK",4096,"latency","H2D",50,0,13.085,13.6285,13.842,14.2863,0.65775,31.285,14.5126,2.90145,0.121934,0.267019,0.275589,0.279906,0.0128872,0.291532,0.268517,0.0288931,0.295912,7.424
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,1,0000:2c:00.0,2,"OK",4096,"latency","D2H",50,0,12.537,13.5085,13.719,13.9545,0.446,23.722,13.9372,1.45563,0.160808,0.273367,0.27806,0.282392,0.00902555,0.304275,0.275589,0.0183339,0.298564,7.248
