rank_i,host_i,cpu_i,affinity_i,ip_i,rank_j,host_j,cpu_j,affinity_j,ip_j,iface,small_bytes,large_bytes,warmup,iters,connect_us,latency_min_us,latency_mean_us,latency_median_us,latency_max_us,bandwidth_median_gibs,bandwidth_mean_gibs
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,1,"n23m0123.hpc.itc.rwth-aachen.de",1,"1",134.61.45.208,ib0,64,4194304,10,50,91.503,7.06,8.88036,8.631,13.984,7.58916,7.59519
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,2,"n23m0123.hpc.itc.rwth-aachen.de",2,"2",134.61.45.208,ib0,64,4194304,10,50,76.349,7.2145,9.03282,8.9445,12.539,7.56537,7.53914
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,3,"n23m0123.hpc.itc.rwth-aachen.de",3,"3",134.61.45.208,ib0,64,4194304,10,50,73.188,7.0785,8.95737,8.8325,12.6615,7.53069,7.50275
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,4,"n23m0123.hpc.itc.rwth-aachen.de",4,"4",134.61.45.208,ib0,64,4194304,10,50,74.34,7.143,8.93338,8.89225,11.121,7.53523,7.48705
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,5,"n23m0123.hpc.itc.rwth-aachen.de",5,"5",134.61.45.208,ib0,64,4194304,10,50,75.81,7.246,8.91087,8.7695,13.2955,7.60471,7.56479
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,6,"n23m0123.hpc.itc.rwth-aachen.de",6,"6",134.61.45.208,ib0,64,4194304,10,50,76.785,7.2185,9.0561,8.914,11.7725,7.6207,7.58568
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,7,"n23m0123.hpc.itc.rwth-aachen.de",7,"7",134.61.45.208,ib0,64,4194304,10,50,78.629,7.1615,8.84417,8.74725,11.5815,7.60777,7.58614
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,8,"n23m0123.hpc.itc.rwth-aachen.de",8,"8",134.61.45.208,ib0,64,4194304,10,50,75.939,7.6495,8.95969,8.877,12.15,7.59788,7.57272
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,9,"n23m0123.hpc.itc.rwth-aachen.de",9,"9",134.61.45.208,ib0,64,4194304,10,50,77.992,7.1945,9.00087,8.91675,12.869,7.49228,7.45236
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,10,"n23m0123.hpc.itc.rwth-aachen.de",10,"10",134.61.45.208,ib0,64,4194304,10,50,75.606,7.127,9.01091,8.92875,14.909,7.46363,7.38779
