rank_i,host_i,cpu_i,affinity_i,ip_i,rank_j,host_j,cpu_j,affinity_j,ip_j,iface,small_bytes,large_bytes,warmup,iters,connect_us,latency_min_us,latency_mean_us,latency_median_us,latency_max_us,bandwidth_median_gibs,bandwidth_mean_gibs
0,"r23m0099.hpc.itc.rwth-aachen.de",0,"0",134.61.44.192,1,"r23m0099.hpc.itc.rwth-aachen.de",1,"1",134.61.44.192,ib0,64,4194304,10,50,124.419,6.9385,8.7684,8.71075,12.518,6.33957,6.33631
0,"r23m0099.hpc.itc.rwth-aachen.de",0,"0",134.61.44.192,2,"r23m0099.hpc.itc.rwth-aachen.de",2,"2",134.61.44.192,ib0,64,4194304,10,50,101.378,7.4775,9.34288,9.2575,11.527,6.75012,6.72709
0,"r23m0099.hpc.itc.rwth-aachen.de",0,"0",134.61.44.192,3,"r23m0099.hpc.itc.rwth-aachen.de",3,"3",134.61.44.192,ib0,64,4194304,10,50,91.955,7.3965,9.14351,9.0825,13.0295,6.85329,6.82966
0,"r23m0099.hpc.itc.rwth-aachen.de",0,"0",134.61.44.192,4,"r23m0099.hpc.itc.rwth-aachen.de",4,"4",134.61.44.192,ib0,64,4194304,10,50,92.735,5.8075,9.38023,9.242,19.781,7.12048,7.10605
0,"r23m0099.hpc.itc.rwth-aachen.de",0,"0",134.61.44.192,5,"r23m0099.hpc.itc.rwth-aachen.de",5,"5",134.61.44.192,ib0,64,4194304,10,50,86.674,7.282,9.22962,9.10625,11.778,7.26843,7.2359
0,"r23m0099.hpc.itc.rwth-aachen.de",0,"0",134.61.44.192,6,"r23m0099.hpc.itc.rwth-aachen.de",6,"6",134.61.44.192,ib0,64,4194304,10,50,86.479,7.3975,9.45572,9.31875,13.8795,7.22858,7.19547
0,"r23m0099.hpc.itc.rwth-aachen.de",0,"0",134.61.44.192,7,"r23m0099.hpc.itc.rwth-aachen.de",7,"7",134.61.44.192,ib0,64,4194304,10,50,89.771,7.5085,9.16254,9.1825,10.5595,7.55504,7.49505
0,"r23m0099.hpc.itc.rwth-aachen.de",0,"0",134.61.44.192,8,"r23m0099.hpc.itc.rwth-aachen.de",8,"8",134.61.44.192,ib0,64,4194304,10,50,84.852,7.3935,9.31777,9.18525,13.581,7.45501,7.41747
0,"r23m0099.hpc.itc.rwth-aachen.de",0,"0",134.61.44.192,9,"r23m0099.hpc.itc.rwth-aachen.de",9,"9",134.61.44.192,ib0,64,4194304,10,50,87.281,7.513,9.44259,9.3805,14.0985,7.34142,7.33515
0,"r23m0099.hpc.itc.rwth-aachen.de",0,"0",134.61.44.192,10,"r23m0099.hpc.itc.rwth-aachen.de",10,"10",134.61.44.192,ib0,64,4194304,10,50,84.819,7.2175,9.11706,9.14775,10.47,7.46655,7.44483
