rank_i,host_i,cpu_i,affinity_i,rank_j,host_j,cpu_j,affinity_j,small_bytes,large_bytes,warmup,iters,latency_min_us,latency_mean_us,latency_median_us,latency_max_us,bandwidth_median_gibs,bandwidth_mean_gibs
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",1,"n23m0123.hpc.itc.rwth-aachen.de",1,"1",64,4194304,10,50,0.169,0.31518,0.285,0.721,24.0132,23.8976
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",2,"n23m0123.hpc.itc.rwth-aachen.de",2,"2",64,4194304,10,50,0.168,0.3297,0.256,1.443,20.9931,20.7744
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",3,"n23m0123.hpc.itc.rwth-aachen.de",3,"3",64,4194304,10,50,0.175,0.34774,0.2725,1.886,22.4302,22.5913
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",4,"n23m0123.hpc.itc.rwth-aachen.de",4,"4",64,4194304,10,50,0.159,0.35802,0.282,2.022,22.5046,22.3949
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",5,"n23m0123.hpc.itc.rwth-aachen.de",5,"5",64,4194304,10,50,0.195,0.31268,0.257,1.872,22.4859,22.533
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",6,"n23m0123.hpc.itc.rwth-aachen.de",6,"6",64,4194304,10,50,0.172,0.33814,0.26,1.822,21.0559,21.1972
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",7,"n23m0123.hpc.itc.rwth-aachen.de",7,"7",64,4194304,10,50,0.141,0.4004,0.2785,2.078,22.8529,22.7535
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",8,"n23m0123.hpc.itc.rwth-aachen.de",8,"8",64,4194304,10,50,0.156,0.38488,0.2755,1.588,22.9282,22.8215
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",9,"n23m0123.hpc.itc.rwth-aachen.de",9,"9",64,4194304,10,50,0.185,0.3263,0.2735,1.709,24.3016,24.4481
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",10,"n23m0123.hpc.itc.rwth-aachen.de",10,"10",64,4194304,10,50,0.182,0.33826,0.26,1.399,22.3691,22.5689
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",11,"n23m0123.hpc.itc.rwth-aachen.de",11,"11",64,4194304,10,50,0.177,0.36856,0.2835,2.195,22.2258,22.395
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",12,"n23m0123.hpc.itc.rwth-aachen.de",12,"12",64,4194304,10,50,0.192,0.39342,0.312,1.613,21.6782,21.8535
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",13,"n23m0123.hpc.itc.rwth-aachen.de",13,"13",64,4194304,10,50,0.191,0.36168,0.2985,1.774,21.9573,22.0707
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",14,"n23m0123.hpc.itc.rwth-aachen.de",14,"14",64,4194304,10,50,0.189,0.34566,0.3,1.274,21.5664,21.8319
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",15,"n23m0123.hpc.itc.rwth-aachen.de",15,"15",64,4194304,10,50,0.185,0.36052,0.2945,1.815,22.1737,22.2662
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",16,"n23m0123.hpc.itc.rwth-aachen.de",16,"16",64,4194304,10,50,0.187,0.3888,0.2875,1.915,21.3466,21.4754
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",17,"n23m0123.hpc.itc.rwth-aachen.de",17,"17",64,4194304,10,50,0.18,0.38316,0.299,1.571,21.6804,21.9006
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",18,"n23m0123.hpc.itc.rwth-aachen.de",18,"18",64,4194304,10,50,0.201,0.42468,0.3245,1.536,21.7398,21.9329
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",19,"n23m0123.hpc.itc.rwth-aachen.de",19,"19",64,4194304,10,50,0.2,0.3895,0.3065,1.661,21.7515,22.001
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",20,"n23m0123.hpc.itc.rwth-aachen.de",20,"20",64,4194304,10,50,0.198,0.38798,0.3245,1.744,21.8519,21.9801
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",21,"n23m0123.hpc.itc.rwth-aachen.de",21,"21",64,4194304,10,50,0.199,0.41316,0.313,1.737,21.5795,21.5408
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",22,"n23m0123.hpc.itc.rwth-aachen.de",22,"22",64,4194304,10,50,0.17,0.50404,0.3285,5.195,21.8471,22.0785
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",23,"n23m0123.hpc.itc.rwth-aachen.de",23,"23",64,4194304,10,50,0.187,0.39678,0.307,1.837,21.636,21.8511
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",24,"n23m0123.hpc.itc.rwth-aachen.de",24,"24",64,4194304,10,50,0.208,0.4348,0.339,1.783,21.1229,21.2985
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",25,"n23m0123.hpc.itc.rwth-aachen.de",25,"25",64,4194304,10,50,0.196,0.43562,0.357,1.687,20.988,21.175
