rank_i,host_i,cpu_i,affinity_i,rank_j,host_j,cpu_j,affinity_j,small_bytes,large_bytes,warmup,iters,latency_min_us,latency_mean_us,latency_median_us,latency_max_us,bandwidth_median_gibs,bandwidth_mean_gibs
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",1,"n23m0223.hpc.itc.rwth-aachen.de",1,"1",64,4194304,10,50,0.171,0.28394,0.2425,0.671,24.3054,24.2826
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",2,"n23m0223.hpc.itc.rwth-aachen.de",2,"2",64,4194304,10,50,0.174,0.30558,0.254,1.224,21.266,21.1993
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",3,"n23m0223.hpc.itc.rwth-aachen.de",3,"3",64,4194304,10,50,0.17,0.39446,0.3105,1.706,23.2816,23.009
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",4,"n23m0223.hpc.itc.rwth-aachen.de",4,"4",64,4194304,10,50,0.164,0.41236,0.2685,2.81,23.2966,23.0319
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",5,"n23m0223.hpc.itc.rwth-aachen.de",5,"5",64,4194304,10,50,0.172,0.34578,0.2685,1.939,22.9627,22.913
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",6,"n23m0223.hpc.itc.rwth-aachen.de",6,"6",64,4194304,10,50,0.177,0.36998,0.2875,1.493,21.81,21.64
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",7,"n23m0223.hpc.itc.rwth-aachen.de",7,"7",64,4194304,10,50,0.174,0.38228,0.263,1.673,23.2637,23.093
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",8,"n23m0223.hpc.itc.rwth-aachen.de",8,"8",64,4194304,10,50,0.173,0.30576,0.258,1.488,23.2917,23.0674
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",9,"n23m0223.hpc.itc.rwth-aachen.de",9,"9",64,4194304,10,50,0.165,0.34894,0.2675,1.604,21.5625,21.4762
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",10,"n23m0223.hpc.itc.rwth-aachen.de",10,"10",64,4194304,10,50,0.175,0.39708,0.275,1.704,22.8615,22.7636
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",11,"n23m0223.hpc.itc.rwth-aachen.de",11,"11",64,4194304,10,50,0.158,0.37944,0.269,1.611,23.2007,23.0319
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",12,"n23m0223.hpc.itc.rwth-aachen.de",12,"12",64,4194304,10,50,0.176,0.41436,0.291,1.796,21.994,21.9108
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",13,"n23m0223.hpc.itc.rwth-aachen.de",13,"13",64,4194304,10,50,0.185,0.3713,0.2975,1.118,22.282,22.1479
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",14,"n23m0223.hpc.itc.rwth-aachen.de",14,"14",64,4194304,10,50,0.194,0.38726,0.313,1.613,22.0567,21.8829
