rank_i,host_i,cpu_i,affinity_i,ip_i,rank_j,host_j,cpu_j,affinity_j,ip_j,iface,small_bytes,large_bytes,warmup,iters,connect_us,latency_min_us,latency_mean_us,latency_median_us,latency_max_us,bandwidth_median_gibs,bandwidth_mean_gibs
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,1,"n23m0123.hpc.itc.rwth-aachen.de",1,"1",134.61.45.208,ib0,64,4194304,10,50,120.55,18.985,24.8111,23.809,47.438,8.25399,8.2292
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,2,"n23m0123.hpc.itc.rwth-aachen.de",2,"2",134.61.45.208,ib0,64,4194304,10,50,184.735,21.867,26.5996,25.56,62.218,8.09703,8.04912
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,3,"n23m0123.hpc.itc.rwth-aachen.de",3,"3",134.61.45.208,ib0,64,4194304,10,50,77.211,18.872,26.2042,24.9005,46.365,8.40945,8.3808
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,4,"n23m0123.hpc.itc.rwth-aachen.de",4,"4",134.61.45.208,ib0,64,4194304,10,50,90.298,22.633,26.388,25.428,39.76,8.44209,8.40626
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,5,"n23m0123.hpc.itc.rwth-aachen.de",5,"5",134.61.45.208,ib0,64,4194304,10,50,98.573,22.011,25.1867,24.575,35.919,8.29807,8.28929
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,6,"n23m0123.hpc.itc.rwth-aachen.de",6,"6",134.61.45.208,ib0,64,4194304,10,50,98.079,19.164,25.9641,25.49,37.074,8.07858,8.11473
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,7,"n23m0123.hpc.itc.rwth-aachen.de",7,"7",134.61.45.208,ib0,64,4194304,10,50,82.629,21.529,24.6728,24.139,33.683,8.36836,8.3731
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,8,"n23m0123.hpc.itc.rwth-aachen.de",8,"8",134.61.45.208,ib0,64,4194304,10,50,79.354,22.158,25.1247,24.371,33.908,8.25133,8.23851
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,9,"n23m0123.hpc.itc.rwth-aachen.de",9,"9",134.61.45.208,ib0,64,4194304,10,50,98.427,21.491,24.6403,23.966,34.211,8.10855,8.09729
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,10,"n23m0123.hpc.itc.rwth-aachen.de",10,"10",134.61.45.208,ib0,64,4194304,10,50,84.236,19.798,25.1795,23.6845,48.894,8.31559,8.29363
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,11,"n23m0123.hpc.itc.rwth-aachen.de",11,"11",134.61.45.208,ib0,64,4194304,10,50,89.943,19.397,24.9559,24.078,41.361,8.17825,8.1571
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,12,"n23m0123.hpc.itc.rwth-aachen.de",12,"12",134.61.45.208,ib0,64,4194304,10,50,103.111,20.463,25.8932,24.7595,35.525,8.25731,8.25426
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,13,"n23m0123.hpc.itc.rwth-aachen.de",13,"13",134.61.45.208,ib0,64,4194304,10,50,82.347,17.755,24.2945,22.8035,41.607,8.23217,8.22526
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,14,"n23m0123.hpc.itc.rwth-aachen.de",14,"14",134.61.45.208,ib0,64,4194304,10,50,99.235,19.89,24.6671,23.8025,32.688,8.05451,8.09269
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,15,"n23m0123.hpc.itc.rwth-aachen.de",15,"15",134.61.45.208,ib0,64,4194304,10,50,90.467,19.87,25.2262,24.1215,36.896,8.25629,8.22058
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,16,"n23m0123.hpc.itc.rwth-aachen.de",16,"16",134.61.45.208,ib0,64,4194304,10,50,86.845,16.378,28.0164,24.906,45.728,8.18917,8.10342
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,17,"n23m0123.hpc.itc.rwth-aachen.de",17,"17",134.61.45.208,ib0,64,4194304,10,50,147.89,20.884,23.8661,22.9915,32.035,8.05507,8.11252
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,18,"n23m0123.hpc.itc.rwth-aachen.de",18,"18",134.61.45.208,ib0,64,4194304,10,50,106.735,20.667,24.9581,24.0955,41.685,8.32123,8.35007
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,19,"n23m0123.hpc.itc.rwth-aachen.de",19,"19",134.61.45.208,ib0,64,4194304,10,50,137.154,19.53,24.5921,23.8075,37.427,8.28402,8.29134
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,20,"n23m0123.hpc.itc.rwth-aachen.de",20,"20",134.61.45.208,ib0,64,4194304,10,50,97.399,18.593,25.6096,24.4005,41.326,8.22908,8.24238
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,21,"n23m0123.hpc.itc.rwth-aachen.de",21,"21",134.61.45.208,ib0,64,4194304,10,50,121.351,19.604,24.9119,23.8985,43.115,8.21412,8.22331
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,22,"n23m0123.hpc.itc.rwth-aachen.de",22,"22",134.61.45.208,ib0,64,4194304,10,50,98.325,16.831,24.2824,23.3725,34.868,8.07998,8.13449
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,23,"n23m0123.hpc.itc.rwth-aachen.de",23,"23",134.61.45.208,ib0,64,4194304,10,50,136.37,16.517,25.2901,23.96,36.691,8.20153,8.21322
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,24,"n23m0123.hpc.itc.rwth-aachen.de",24,"24",134.61.45.208,ib0,64,4194304,10,50,84.733,21.837,23.8759,23.3755,33.201,8.18765,8.24407
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,25,"n23m0123.hpc.itc.rwth-aachen.de",25,"25",134.61.45.208,ib0,64,4194304,10,50,109.879,19.086,24.7319,24.1615,34.968,7.83715,7.89207
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,26,"n23m0123.hpc.itc.rwth-aachen.de",26,"26",134.61.45.208,ib0,64,4194304,10,50,96.34,21.641,25.0785,24.1105,38.361,7.97359,7.97502
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,27,"n23m0123.hpc.itc.rwth-aachen.de",27,"27",134.61.45.208,ib0,64,4194304,10,50,114.358,22.414,25.1309,24.5635,32.454,8.19059,8.17593
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,28,"n23m0123.hpc.itc.rwth-aachen.de",28,"28",134.61.45.208,ib0,64,4194304,10,50,89.288,15.735,24.422,23.4855,37.184,8.3008,8.30233
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,29,"n23m0123.hpc.itc.rwth-aachen.de",29,"29",134.61.45.208,ib0,64,4194304,10,50,115.024,22.87,25.5585,24.894,34.141,8.17837,8.21947
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,30,"n23m0123.hpc.itc.rwth-aachen.de",30,"30",134.61.45.208,ib0,64,4194304,10,50,90.316,21.222,23.717,23.2115,33.688,8.1921,8.26438
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,31,"n23m0123.hpc.itc.rwth-aachen.de",31,"31",134.61.45.208,ib0,64,4194304,10,50,122.315,18.207,27.9704,26.0255,42.451,8.19584,8.19037
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,32,"n23m0123.hpc.itc.rwth-aachen.de",32,"32",134.61.45.208,ib0,64,4194304,10,50,110.526,22.657,24.7569,24.328,32.609,8.20213,8.22749
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,33,"n23m0123.hpc.itc.rwth-aachen.de",33,"33",134.61.45.208,ib0,64,4194304,10,50,127.817,22.127,24.9062,24.093,37.26,7.51695,7.50079
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,34,"n23m0123.hpc.itc.rwth-aachen.de",34,"34",134.61.45.208,ib0,64,4194304,10,50,114.677,25.285,27.6769,26.5365,40.086,7.32252,7.26739
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,35,"n23m0123.hpc.itc.rwth-aachen.de",35,"35",134.61.45.208,ib0,64,4194304,10,50,137.887,21.693,26.849,26.263,38.969,7.63546,7.5588
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,36,"n23m0123.hpc.itc.rwth-aachen.de",36,"36",134.61.45.208,ib0,64,4194304,10,50,107.72,17.468,26.7759,26.027,37.727,7.73914,7.67253
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,37,"n23m0123.hpc.itc.rwth-aachen.de",37,"37",134.61.45.208,ib0,64,4194304,10,50,127.268,23.824,26.0293,25.3935,38.784,7.76112,7.65903
