rank_i,host_i,cpu_i,affinity_i,ip_i,rank_j,host_j,cpu_j,affinity_j,ip_j,iface,small_bytes,large_bytes,warmup,iters,connect_us,latency_min_us,latency_mean_us,latency_median_us,latency_max_us,bandwidth_median_gibs,bandwidth_mean_gibs
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,1,"n23m0223.hpc.itc.rwth-aachen.de",1,"1",134.61.46.53,ib0,64,4194304,10,50,137.916,17.211,24.872,23.678,39.44,8.4562,8.43097
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,2,"n23m0223.hpc.itc.rwth-aachen.de",2,"2",134.61.46.53,ib0,64,4194304,10,50,92.223,20.886,26.8079,26.311,40.159,8.06217,8.05565
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,3,"n23m0223.hpc.itc.rwth-aachen.de",3,"3",134.61.46.53,ib0,64,4194304,10,50,92.589,19.717,25.6077,23.925,37.568,8.52212,8.48942
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,4,"n23m0223.hpc.itc.rwth-aachen.de",4,"4",134.61.46.53,ib0,64,4194304,10,50,91.815,19.989,25.0807,24.544,32.859,8.53477,8.49353
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,5,"n23m0223.hpc.itc.rwth-aachen.de",5,"5",134.61.46.53,ib0,64,4194304,10,50,101.589,20.239,24.9581,24.088,39.05,8.32509,8.27982
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,6,"n23m0223.hpc.itc.rwth-aachen.de",6,"6",134.61.46.53,ib0,64,4194304,10,50,95.299,21.694,24.8121,24.153,39.584,8.49292,8.4165
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,7,"n23m0223.hpc.itc.rwth-aachen.de",7,"7",134.61.46.53,ib0,64,4194304,10,50,96.742,21.557,25.2009,24.358,38.76,8.48857,8.45716
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,8,"n23m0223.hpc.itc.rwth-aachen.de",8,"8",134.61.46.53,ib0,64,4194304,10,50,108.629,19.336,24.8154,23.808,37.255,8.49783,8.42239
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,9,"n23m0223.hpc.itc.rwth-aachen.de",9,"9",134.61.46.53,ib0,64,4194304,10,50,103.144,21.049,24.7042,23.7385,34.988,8.37646,8.30273
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,10,"n23m0223.hpc.itc.rwth-aachen.de",10,"10",134.61.46.53,ib0,64,4194304,10,50,99.07,22.832,24.8923,24.4765,35.126,8.18977,8.14711
