target_rank,target_host,sender_rank,sender_host,sender_cpu,sender_affinity,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
0,"n23m0123.hpc.itc.rwth-aachen.de",1,"n23m0123.hpc.itc.rwth-aachen.de",1,"1",64,20,0.123,0.32525,0.3295,1.5509,0.9085,8.60595,12.348
0,"n23m0123.hpc.itc.rwth-aachen.de",2,"n23m0123.hpc.itc.rwth-aachen.de",2,"2",64,20,0.278,0.3415,0.822,1.68165,2.5855,4.04555,9.927
0,"n23m0123.hpc.itc.rwth-aachen.de",3,"n23m0123.hpc.itc.rwth-aachen.de",3,"3",64,20,0.133,0.204,0.316,0.80485,0.7015,2.27465,5.726
0,"n23m0123.hpc.itc.rwth-aachen.de",4,"n23m0123.hpc.itc.rwth-aachen.de",4,"4",64,20,0.279,0.3525,0.507,1.43055,1.0745,3.5931,11.879
0,"n23m0123.hpc.itc.rwth-aachen.de",5,"n23m0123.hpc.itc.rwth-aachen.de",5,"5",64,20,0.201,0.482,0.7625,2.1783,2.7265,8.7038,8.814
0,"n23m0123.hpc.itc.rwth-aachen.de",6,"n23m0123.hpc.itc.rwth-aachen.de",6,"6",64,20,0.162,0.80775,2.25,2.95945,3.07775,9.18295,12.716
0,"n23m0123.hpc.itc.rwth-aachen.de",7,"n23m0123.hpc.itc.rwth-aachen.de",7,"7",64,20,0.106,0.29775,1.82,2.4396,2.84575,8.65415,9.835
0,"n23m0123.hpc.itc.rwth-aachen.de",8,"n23m0123.hpc.itc.rwth-aachen.de",8,"8",64,20,0.205,0.4065,0.504,2.19065,3.9165,6.71035,9.282
0,"n23m0123.hpc.itc.rwth-aachen.de",9,"n23m0123.hpc.itc.rwth-aachen.de",9,"9",64,20,0.148,0.29325,0.499,2.0256,1.55375,9.01905,12.725
0,"n23m0123.hpc.itc.rwth-aachen.de",10,"n23m0123.hpc.itc.rwth-aachen.de",10,"10",64,20,0.142,0.3575,0.6655,1.61585,2.61625,3.2921,10.343
