target_rank,target_host,sender_rank,sender_host,sender_cpu,sender_affinity,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
0,"n23m0223.hpc.itc.rwth-aachen.de",1,"n23m0223.hpc.itc.rwth-aachen.de",1,"1",64,20,0.276,0.933,2.644,4.5392,5.595,15.6733,21.644
0,"n23m0223.hpc.itc.rwth-aachen.de",2,"n23m0223.hpc.itc.rwth-aachen.de",2,"2",64,20,0.211,0.48025,2.4225,4.29155,7.89,9.4766,21.515
0,"n23m0223.hpc.itc.rwth-aachen.de",3,"n23m0223.hpc.itc.rwth-aachen.de",3,"3",64,20,0.19,1.492,4.9965,5.4966,7.466,10.4041,20.171
0,"n23m0223.hpc.itc.rwth-aachen.de",4,"n23m0223.hpc.itc.rwth-aachen.de",4,"4",64,20,0.154,0.323,5.314,6.35035,8.863,21.4593,22.7
0,"n23m0223.hpc.itc.rwth-aachen.de",5,"n23m0223.hpc.itc.rwth-aachen.de",5,"5",64,20,0.73,6.521,7.79,8.4217,9.331,16.7203,22.578
0,"n23m0223.hpc.itc.rwth-aachen.de",6,"n23m0223.hpc.itc.rwth-aachen.de",6,"6",64,20,0.955,5.19675,7.112,7.184,8.47075,12.4343,17.532
0,"n23m0223.hpc.itc.rwth-aachen.de",7,"n23m0223.hpc.itc.rwth-aachen.de",7,"7",64,20,0.536,2.00625,6.0205,6.4176,8.436,15.8738,22.5
0,"n23m0223.hpc.itc.rwth-aachen.de",8,"n23m0223.hpc.itc.rwth-aachen.de",8,"8",64,20,0.213,1.163,6.7005,5.3022,8.57375,9.1123,11.113
0,"n23m0223.hpc.itc.rwth-aachen.de",9,"n23m0223.hpc.itc.rwth-aachen.de",9,"9",64,20,0.349,1.57825,6.2315,5.6003,8.4235,10.3075,18.81
0,"n23m0223.hpc.itc.rwth-aachen.de",10,"n23m0223.hpc.itc.rwth-aachen.de",10,"10",64,20,0.424,2.4605,7.0975,5.72245,8.00175,9.7067,12.038
0,"n23m0223.hpc.itc.rwth-aachen.de",11,"n23m0223.hpc.itc.rwth-aachen.de",11,"11",64,20,0.514,1.53325,4.849,4.7564,6.1745,8.4305,17.997
0,"n23m0223.hpc.itc.rwth-aachen.de",12,"n23m0223.hpc.itc.rwth-aachen.de",12,"12",64,20,0.264,2.582,7.935,6.8003,8.981,12.32,17.829
0,"n23m0223.hpc.itc.rwth-aachen.de",13,"n23m0223.hpc.itc.rwth-aachen.de",13,"13",64,20,0.176,1.233,4.579,4.5485,6.98,9.51775,12.667
0,"n23m0223.hpc.itc.rwth-aachen.de",14,"n23m0223.hpc.itc.rwth-aachen.de",14,"14",64,20,0.232,1.983,5.166,6.20275,7.53,15.7283,22.65
0,"n23m0223.hpc.itc.rwth-aachen.de",15,"n23m0223.hpc.itc.rwth-aachen.de",15,"15",64,20,0.347,4.26075,6.657,6.6031,8.1485,12.2961,22.881
0,"n23m0223.hpc.itc.rwth-aachen.de",16,"n23m0223.hpc.itc.rwth-aachen.de",16,"16",64,20,0.358,1.044,6.5905,5.47285,8.5385,9.01375,13.265
0,"n23m0223.hpc.itc.rwth-aachen.de",17,"n23m0223.hpc.itc.rwth-aachen.de",17,"17",64,20,0.155,2.93925,5.4185,5.50765,7.62325,8.9555,16.945
0,"n23m0223.hpc.itc.rwth-aachen.de",18,"n23m0223.hpc.itc.rwth-aachen.de",18,"18",64,20,0.312,5.0235,7.287,7.065,8.2705,11.9526,21.615
0,"n23m0223.hpc.itc.rwth-aachen.de",19,"n23m0223.hpc.itc.rwth-aachen.de",19,"19",64,20,0.544,3.35875,4.907,5.13345,7.16825,9.3829,11.585
0,"n23m0223.hpc.itc.rwth-aachen.de",20,"n23m0223.hpc.itc.rwth-aachen.de",20,"20",64,20,0.209,3.40175,5.447,5.75755,6.85625,12.0272,17.464
0,"n23m0223.hpc.itc.rwth-aachen.de",21,"n23m0223.hpc.itc.rwth-aachen.de",21,"21",64,20,0.565,1.9625,7.2275,6.3771,8.0745,17.3645,19.216
0,"n23m0223.hpc.itc.rwth-aachen.de",22,"n23m0223.hpc.itc.rwth-aachen.de",22,"22",64,20,0.576,3.55575,4.196,6.23825,8.011,16.8471,22.378
0,"n23m0223.hpc.itc.rwth-aachen.de",23,"n23m0223.hpc.itc.rwth-aachen.de",23,"23",64,20,0.26,3.72525,6.202,6.0778,7.72925,9.91975,21.809
0,"n23m0223.hpc.itc.rwth-aachen.de",24,"n23m0223.hpc.itc.rwth-aachen.de",24,"24",64,20,0.185,1.5395,6.506,5.8456,8.21125,13.3066,16.414
0,"n23m0223.hpc.itc.rwth-aachen.de",25,"n23m0223.hpc.itc.rwth-aachen.de",25,"25",64,20,0.622,1.905,5.583,5.7347,7.378,13.4028,22.12
0,"n23m0223.hpc.itc.rwth-aachen.de",26,"n23m0223.hpc.itc.rwth-aachen.de",26,"26",64,20,0.468,4.3585,6.068,6.46595,7.895,12.7569,22.881
0,"n23m0223.hpc.itc.rwth-aachen.de",27,"n23m0223.hpc.itc.rwth-aachen.de",27,"27",64,20,1.051,4.6615,5.85,6.13705,7.22725,11.7211,17.347
0,"n23m0223.hpc.itc.rwth-aachen.de",28,"n23m0223.hpc.itc.rwth-aachen.de",28,"28",64,20,0.197,3.8445,6.8955,7.06835,8.184,17.8632,22.768
0,"n23m0223.hpc.itc.rwth-aachen.de",29,"n23m0223.hpc.itc.rwth-aachen.de",29,"29",64,20,0.263,3.5035,5.534,5.4068,7.7865,10.7545,12.284
