target_rank,target_host,target_cpu,target_affinity,senders_count,payload_bytes,total_ingest_bytes,iters,ingest_bw_min_gibs,ingest_bw_p25_gibs,ingest_bw_median_gibs,ingest_bw_mean_gibs,ingest_bw_p75_gibs,ingest_bw_p95_gibs,ingest_bw_max_gibs,sender_lat_min_us,sender_lat_p25_us,sender_lat_median_us,sender_lat_mean_us,sender_lat_p75_us,sender_lat_p95_us,sender_lat_p99_us,sender_lat_max_us
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,64,12224,20,0.236989,0.356423,0.363652,0.357385,0.370667,0.37796,0.380854,0.044,0.13375,0.252,0.707808,0.458,3.1758,8.57699,12.725
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,1024,195584,20,2.92125,3.22186,3.33617,3.38224,3.4331,3.55593,5.12022,0.114,0.183,0.372,2.23061,2.84125,9.69115,11.6741,14.406
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4096,782336,20,5.38827,5.77518,5.91208,5.90491,5.9814,6.218,7.13223,0.242,0.358,0.9535,5.52255,7.042,25.3046,38.4239,68.007
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,16384,3.12934e+06,20,4.96681,5.19566,5.23529,5.22962,5.31439,5.3449,5.42114,0.662,0.92675,3.472,116.843,247.691,376.437,413.31,459.605
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,65536,1.25174e+07,20,7.95088,8.78006,8.82504,8.82487,9.08626,9.18128,9.19855,2.423,11.9878,485.677,571.137,1206.75,1399.64,1435.63,1462.7
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,262144,5.00695e+07,20,10.3282,10.6635,11.0145,11.1305,11.5317,11.9334,12.2023,14.899,1633.7,3162.64,2729.59,3833.79,4367.05,4488.49,4590.61
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,1048576,2.00278e+08,20,8.66239,9.90226,10.0828,9.94595,10.1828,10.3331,10.3671,150.619,10829.3,13939.3,13639.7,16953.2,19178.3,20697.9,21808.9
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,8.01112e+08,20,6.37904,6.61687,7.26729,7.49309,8.34533,8.53628,8.8016,9876.07,32318.2,58571.9,63428.3,93985.2,109551,113440,117630
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,64,12224,20,0.249212,0.282098,0.288417,0.290338,0.301748,0.306376,0.32596,0.056,0.073,0.3005,0.77928,0.69825,3.30055,8.01181,11.953
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,1024,195584,20,1.99448,2.36282,2.40296,2.50253,2.47499,3.25692,3.50521,0.12,0.246,0.5765,3.01232,4.151,14.1584,18.2738,53.778
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4096,782336,20,3.8306,4.16515,4.29611,4.91732,5.05205,7.41197,8.8688,0.306,0.55,1.498,8.76111,8.87375,37.9458,67.7274,78.067
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,16384,3.12934e+06,20,3.72661,3.862,3.90506,3.8954,3.93602,3.98501,4.00361,0.965,1.613,5.3695,160.029,327.087,522.195,562.708,617.036
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,65536,1.25174e+07,20,3.20722,6.2821,6.48195,6.17758,6.65436,6.76093,6.78577,4.837,18.0973,643.869,750.929,1203.41,1833.78,1922.51,4385.55
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,262144,5.00695e+07,20,8.20489,8.89438,9.50279,11.5051,9.81511,12.6949,53.1652,35.087,1910.15,3722.87,3255.99,4537.83,5362.94,5646.89,6157.83
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,1048576,2.00278e+08,20,8.5354,8.73011,8.88697,8.87995,9.01795,9.1934,9.19926,178.299,12124.5,15527.5,15144.1,18741.1,21177.7,21575.7,22045.5
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,8.01112e+08,20,6.51916,7.01089,7.4438,7.39622,7.64682,8.27128,8.30731,10549.1,32596.9,57885.2,63507.1,95374.3,105061,111456,114425
