target_rank,target_host,target_cpu,target_affinity,senders_count,payload_bytes,total_ingest_bytes,iters,ingest_bw_min_gibs,ingest_bw_p25_gibs,ingest_bw_median_gibs,ingest_bw_mean_gibs,ingest_bw_p75_gibs,ingest_bw_p95_gibs,ingest_bw_max_gibs,sender_lat_min_us,sender_lat_p25_us,sender_lat_median_us,sender_lat_mean_us,sender_lat_p75_us,sender_lat_p95_us,sender_lat_p99_us,sender_lat_max_us
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,64,12224,20,0.34849,0.405799,0.425021,0.427914,0.446284,0.490304,0.529757,0.058,0.11,0.246,1.79667,1.8415,8.1714,15.3631,22.881
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,1024,195584,20,2.69827,3.20159,3.28131,3.37125,3.36041,3.96032,5.60968,0.104,0.16,0.3595,3.00217,5.58,10.3261,13.3094,22.437
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,4096,782336,20,5.42878,5.71679,6.03416,5.99335,6.14691,6.46398,6.69885,0.225,0.347,0.9755,6.71446,7.124,32.4841,45.8624,59.751
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,16384,3.12934e+06,20,4.95211,5.04539,5.12826,5.14604,5.19834,5.36537,5.80706,0.584,0.88575,3.306,124.717,257.991,406.653,437.355,490.019
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,65536,1.25174e+07,20,7.70843,7.96825,8.30675,8.3557,8.64844,8.96283,8.97687,2.669,11.755,530.881,608.918,1290.83,1442.31,1471.3,1508.82
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,262144,5.00695e+07,20,10.0834,10.1922,10.5914,10.6087,11.0239,11.1359,11.3825,21.363,1822.62,3519.99,2940.66,4086.64,4515.47,4606.97,4707.72
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,1048576,2.00278e+08,20,9.29766,9.42797,9.58977,9.59855,9.72708,9.89813,9.97338,172.352,11740.9,14929.6,14415.3,17757.3,19637,19972.3,20149.5
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,4194304,8.01112e+08,20,5.55138,6.11468,6.66263,7.0792,8.23623,8.38003,8.40053,9306.77,32839.8,63799,66965,102048,121123,127835,134379
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",191,64,12224,20,0.242146,0.263865,0.273574,0.2733,0.282524,0.303637,0.303684,0.045,0.07,0.388,2.95416,3.84525,13.3881,20.3222,28.401
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",191,1024,195584,20,1.41073,1.59673,1.71598,1.69706,1.77461,1.86176,2.22443,0.109,0.241,0.6655,6.15893,7.97275,28.2005,42.3588,61.05
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",191,4096,782336,20,2.8485,2.98989,3.04044,3.03588,3.08453,3.12237,3.15289,0.338,0.56775,1.564,14.2306,14.273,76.1279,93.8899,101.63
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",191,16384,3.12934e+06,20,2.61562,2.73682,2.96697,2.91351,3.03224,3.26218,3.39739,1.164,1.66875,6.3375,220.752,445.155,749.082,826.26,917.651
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",191,65536,1.25174e+07,20,4.85185,5.36457,5.81016,5.76099,6.07911,6.66271,6.72819,5.458,20.7477,794.207,903.885,1739.27,2210.04,2353.87,2515.72
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",191,262144,5.00695e+07,20,7.48624,7.9372,8.50865,10.9257,8.81223,11.5874,59.4916,48.766,2323.39,4485.35,3776.79,5229.83,5838.64,6056.21,6223.03
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",191,1048576,2.00278e+08,20,8.40923,8.57807,8.75735,8.78292,9.00005,9.07461,9.09649,190.079,12778.4,16322.2,15811,19529.8,21775.8,22136.9,23039.1
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",191,4194304,8.01112e+08,20,7.09172,7.2421,7.294,7.30739,7.38072,7.5184,7.53373,11435,33223.4,54586.8,64090,96955.5,102270,104109,105183
