target_rank,target_host,sender_rank,sender_host,sender_cpu,sender_affinity,sender_ip,iface,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
0,"n23m0123.hpc.itc.rwth-aachen.de",1,"n23m0123.hpc.itc.rwth-aachen.de",1,"1",134.61.45.208,"ib0",64,20,4865.53,4999.46,5190.96,35834.2,5414.09,36547.9,617616
0,"n23m0123.hpc.itc.rwth-aachen.de",2,"n23m0123.hpc.itc.rwth-aachen.de",2,"2",134.61.45.208,"ib0",64,20,4853.5,4985.22,5176.49,35766.4,5397.82,36480.6,616536
0,"n23m0123.hpc.itc.rwth-aachen.de",3,"n23m0123.hpc.itc.rwth-aachen.de",3,"3",134.61.45.208,"ib0",64,20,4835.39,4969.6,5162.91,35758.8,5384.83,36473.2,616638
0,"n23m0123.hpc.itc.rwth-aachen.de",4,"n23m0123.hpc.itc.rwth-aachen.de",4,"4",134.61.45.208,"ib0",64,20,4820.87,4955.52,5149.18,35737.2,5370.44,36452.8,616490
0,"n23m0123.hpc.itc.rwth-aachen.de",5,"n23m0123.hpc.itc.rwth-aachen.de",5,"5",134.61.45.208,"ib0",64,20,4808.88,4943.26,5136.86,35730.1,5358.64,36450.6,616579
0,"n23m0123.hpc.itc.rwth-aachen.de",6,"n23m0123.hpc.itc.rwth-aachen.de",6,"6",134.61.45.208,"ib0",64,20,1905.95,1999.47,2061.08,2156.89,2277.93,2502.45,2635.99
0,"n23m0123.hpc.itc.rwth-aachen.de",7,"n23m0123.hpc.itc.rwth-aachen.de",7,"7",134.61.45.208,"ib0",64,20,1952.23,2025.09,2065.68,2175.19,2298,2522.82,2655.44
0,"n23m0123.hpc.itc.rwth-aachen.de",8,"n23m0123.hpc.itc.rwth-aachen.de",8,"8",134.61.45.208,"ib0",64,20,1965.36,2048.13,2078.36,2189.93,2309.24,2535.92,2669.18
0,"n23m0123.hpc.itc.rwth-aachen.de",9,"n23m0123.hpc.itc.rwth-aachen.de",9,"9",134.61.45.208,"ib0",64,20,1981.34,2063.25,2092.25,2203.49,2324.31,2549.76,2683.26
0,"n23m0123.hpc.itc.rwth-aachen.de",10,"n23m0123.hpc.itc.rwth-aachen.de",10,"10",134.61.45.208,"ib0",64,20,1993.11,2066.16,2103.98,2213.22,2335.48,2562.31,2695.7
0,"n23m0123.hpc.itc.rwth-aachen.de",11,"n23m0123.hpc.itc.rwth-aachen.de",11,"11",134.61.45.208,"ib0",64,20,2007.04,2093.62,2122.03,2232.34,2350.31,2584.22,2709.17
0,"n23m0123.hpc.itc.rwth-aachen.de",12,"n23m0123.hpc.itc.rwth-aachen.de",12,"12",134.61.45.208,"ib0",64,20,2022.32,2106.51,2130.69,2244.3,2361.93,2604.32,2722.46
0,"n23m0123.hpc.itc.rwth-aachen.de",13,"n23m0123.hpc.itc.rwth-aachen.de",13,"13",134.61.45.208,"ib0",64,20,2039.43,2118.79,2147.23,2258.07,2377.63,2611.97,2737.05
0,"n23m0123.hpc.itc.rwth-aachen.de",14,"n23m0123.hpc.itc.rwth-aachen.de",14,"14",134.61.45.208,"ib0",64,20,2055.32,2126.16,2159.03,2269.39,2388.83,2626.84,2751.04
0,"n23m0123.hpc.itc.rwth-aachen.de",15,"n23m0123.hpc.itc.rwth-aachen.de",15,"15",134.61.45.208,"ib0",64,20,2068.01,2136.97,2174.12,2283.84,2404.14,2640.09,2764.92
0,"n23m0123.hpc.itc.rwth-aachen.de",16,"n23m0123.hpc.itc.rwth-aachen.de",16,"16",134.61.45.208,"ib0",64,20,2085.43,2160.54,2186.31,2301.46,2415.96,2654.84,2778.22
0,"n23m0123.hpc.itc.rwth-aachen.de",17,"n23m0123.hpc.itc.rwth-aachen.de",17,"17",134.61.45.208,"ib0",64,20,2100.81,2182.31,2216.47,2332.43,2509.03,2666.67,2793.18
