target_rank,target_host,sender_rank,sender_host,sender_cpu,sender_affinity,sender_ip,iface,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
0,"n23m0223.hpc.itc.rwth-aachen.de",1,"n23m0223.hpc.itc.rwth-aachen.de",1,"1",134.61.46.53,"ib0",64,20,4739.88,4902.43,5467.73,5355.81,5679.61,5850.36,5887.2
0,"n23m0223.hpc.itc.rwth-aachen.de",2,"n23m0223.hpc.itc.rwth-aachen.de",2,"2",134.61.46.53,"ib0",64,20,4727.21,4877.13,5392.27,5310.48,5593.06,5814.52,5835.07
0,"n23m0223.hpc.itc.rwth-aachen.de",3,"n23m0223.hpc.itc.rwth-aachen.de",3,"3",134.61.46.53,"ib0",64,20,4715.12,4865.04,5442.62,5327.95,5643.34,5823.24,5863.64
0,"n23m0223.hpc.itc.rwth-aachen.de",4,"n23m0223.hpc.itc.rwth-aachen.de",4,"4",134.61.46.53,"ib0",64,20,4702.01,4849.73,5362.83,5282.7,5564.26,5786.87,5803.42
0,"n23m0223.hpc.itc.rwth-aachen.de",5,"n23m0223.hpc.itc.rwth-aachen.de",5,"5",134.61.46.53,"ib0",64,20,4690.44,4837.89,5415.38,5300.69,5617.33,5792.02,5834.52
0,"n23m0223.hpc.itc.rwth-aachen.de",6,"n23m0223.hpc.itc.rwth-aachen.de",6,"6",134.61.46.53,"ib0",64,20,1963.7,2011.24,2082.64,2168.41,2181.63,2620.68,2626.93
0,"n23m0223.hpc.itc.rwth-aachen.de",7,"n23m0223.hpc.itc.rwth-aachen.de",7,"7",134.61.46.53,"ib0",64,20,1982.56,2031.76,2101.55,2219.09,2305.25,2653.95,2800.01
0,"n23m0223.hpc.itc.rwth-aachen.de",8,"n23m0223.hpc.itc.rwth-aachen.de",8,"8",134.61.46.53,"ib0",64,20,1997.57,2042.72,2114.55,2200.81,2215.73,2656.89,2657.93
0,"n23m0223.hpc.itc.rwth-aachen.de",9,"n23m0223.hpc.itc.rwth-aachen.de",9,"9",134.61.46.53,"ib0",64,20,2010.99,2057.66,2129.99,2246.49,2332.34,2680.66,2828.84
0,"n23m0223.hpc.itc.rwth-aachen.de",10,"n23m0223.hpc.itc.rwth-aachen.de",10,"10",134.61.46.53,"ib0",64,20,2022.48,2068.33,2142.68,2227.54,2245.1,2684.25,2685.74
0,"n23m0223.hpc.itc.rwth-aachen.de",11,"n23m0223.hpc.itc.rwth-aachen.de",11,"11",134.61.46.53,"ib0",64,20,2037.1,2083.64,2157.59,2273.71,2361.58,2706.91,2852.45
0,"n23m0223.hpc.itc.rwth-aachen.de",12,"n23m0223.hpc.itc.rwth-aachen.de",12,"12",134.61.46.53,"ib0",64,20,2049.05,2095.08,2169.09,2265.55,2348.11,2710.12,2712.18
0,"n23m0223.hpc.itc.rwth-aachen.de",13,"n23m0223.hpc.itc.rwth-aachen.de",13,"13",134.61.46.53,"ib0",64,20,2069.72,2110.76,2184.53,2336.14,2579.52,2880.13,2956.07
0,"n23m0223.hpc.itc.rwth-aachen.de",14,"n23m0223.hpc.itc.rwth-aachen.de",14,"14",134.61.46.53,"ib0",64,20,2081.07,2121.26,2196.16,2317.4,2400.29,2749.25,2969.4
0,"n23m0223.hpc.itc.rwth-aachen.de",15,"n23m0223.hpc.itc.rwth-aachen.de",15,"15",134.61.46.53,"ib0",64,20,2095.3,2136.85,2211.31,2363.2,2605.29,2908.4,2984.03
0,"n23m0223.hpc.itc.rwth-aachen.de",16,"n23m0223.hpc.itc.rwth-aachen.de",16,"16",134.61.46.53,"ib0",64,20,2106.7,2147.72,2223.27,2344.87,2425.4,2775.88,2994.94
0,"n23m0223.hpc.itc.rwth-aachen.de",17,"n23m0223.hpc.itc.rwth-aachen.de",17,"17",134.61.46.53,"ib0",64,20,2121.25,2163.32,2237.83,2390.93,2631.11,2936.05,3010.05
0,"n23m0223.hpc.itc.rwth-aachen.de",18,"n23m0223.hpc.itc.rwth-aachen.de",18,"18",134.61.46.53,"ib0",64,20,2133.69,2174.56,2248.41,2371.14,2452.02,2803.11,3020.91
0,"n23m0223.hpc.itc.rwth-aachen.de",19,"n23m0223.hpc.itc.rwth-aachen.de",19,"19",134.61.46.53,"ib0",64,20,2148.46,2189.43,2263.92,2416.74,2657.52,2960.99,3035.55
0,"n23m0223.hpc.itc.rwth-aachen.de",20,"n23m0223.hpc.itc.rwth-aachen.de",20,"20",134.61.46.53,"ib0",64,20,2162.08,2202.01,2276.07,2400.15,2479.25,2831.14,3051.18
0,"n23m0223.hpc.itc.rwth-aachen.de",21,"n23m0223.hpc.itc.rwth-aachen.de",21,"21",134.61.46.53,"ib0",64,20,2178.79,2218.8,2291.94,2447.41,2687.7,2993.82,3068.27
0,"n23m0223.hpc.itc.rwth-aachen.de",22,"n23m0223.hpc.itc.rwth-aachen.de",22,"22",134.61.46.53,"ib0",64,20,2191.12,2231.77,2305.23,2429.72,2507.57,2860.82,3080.45
0,"n23m0223.hpc.itc.rwth-aachen.de",23,"n23m0223.hpc.itc.rwth-aachen.de",23,"23",134.61.46.53,"ib0",64,20,2207.08,2247.86,2324.35,2477.12,2717.08,3025.1,3096.27
0,"n23m0223.hpc.itc.rwth-aachen.de",24,"n23m0223.hpc.itc.rwth-aachen.de",24,"24",134.61.46.53,"ib0",64,20,2219.2,2260.31,2336.91,2459.28,2536.73,2889.72,3108.58
0,"n23m0223.hpc.itc.rwth-aachen.de",25,"n23m0223.hpc.itc.rwth-aachen.de",25,"25",134.61.46.53,"ib0",64,20,2236.27,2278.35,2353.62,2507.04,2746.31,3053.93,3125.28
0,"n23m0223.hpc.itc.rwth-aachen.de",26,"n23m0223.hpc.itc.rwth-aachen.de",26,"26",134.61.46.53,"ib0",64,20,2253.78,2290.6,2366.66,2489.45,2568.64,2919.52,3137.13
0,"n23m0223.hpc.itc.rwth-aachen.de",27,"n23m0223.hpc.itc.rwth-aachen.de",27,"27",134.61.46.53,"ib0",64,20,2267.93,2344.97,2423.83,2693.85,2841.62,3267.5,5457.38
0,"n23m0223.hpc.itc.rwth-aachen.de",28,"n23m0223.hpc.itc.rwth-aachen.de",28,"28",134.61.46.53,"ib0",64,20,2281.23,2357.56,2435.46,2552.55,2789.55,3006.44,3164.28
0,"n23m0223.hpc.itc.rwth-aachen.de",29,"n23m0223.hpc.itc.rwth-aachen.de",29,"29",134.61.46.53,"ib0",64,20,2296.34,2373.13,2450.89,2599.21,2869.58,3115.06,3180.95
0,"n23m0223.hpc.itc.rwth-aachen.de",30,"n23m0223.hpc.itc.rwth-aachen.de",30,"30",134.61.46.53,"ib0",64,20,2309.11,2388.69,2463.88,2582.23,2818.52,3037.67,3193.81
0,"n23m0223.hpc.itc.rwth-aachen.de",31,"n23m0223.hpc.itc.rwth-aachen.de",31,"31",134.61.46.53,"ib0",64,20,2324.8,2404.46,2479.34,2629.01,2899.56,3147.84,3210.99
0,"n23m0223.hpc.itc.rwth-aachen.de",32,"n23m0223.hpc.itc.rwth-aachen.de",32,"32",134.61.46.53,"ib0",64,20,2327.12,2408.8,2480.66,2600.86,2837.41,3057.38,3213.8
0,"n23m0223.hpc.itc.rwth-aachen.de",33,"n23m0223.hpc.itc.rwth-aachen.de",33,"33",134.61.46.53,"ib0",64,20,2344.35,2425.64,2500.32,2650.04,2919.14,3173.41,3237.11
0,"n23m0223.hpc.itc.rwth-aachen.de",34,"n23m0223.hpc.itc.rwth-aachen.de",34,"34",134.61.46.53,"ib0",64,20,2355.12,2437.08,2512.26,2631.16,2866.15,3085.12,3248.07
0,"n23m0223.hpc.itc.rwth-aachen.de",35,"n23m0223.hpc.itc.rwth-aachen.de",35,"35",134.61.46.53,"ib0",64,20,2371.16,2453.59,2529.91,2679.18,2949.41,3202.43,3264.96
0,"n23m0223.hpc.itc.rwth-aachen.de",36,"n23m0223.hpc.itc.rwth-aachen.de",36,"36",134.61.46.53,"ib0",64,20,2383.06,2466.34,2543.41,2661.42,2895.77,3114.53,3279.8
0,"n23m0223.hpc.itc.rwth-aachen.de",37,"n23m0223.hpc.itc.rwth-aachen.de",37,"37",134.61.46.53,"ib0",64,20,2399.59,2485.11,2561.86,2710.55,2978.98,3238.82,3297.38
0,"n23m0223.hpc.itc.rwth-aachen.de",38,"n23m0223.hpc.itc.rwth-aachen.de",38,"38",134.61.46.53,"ib0",64,20,2413.3,2521.45,2624.62,2719.56,2970.25,3148.82,3312.88
0,"n23m0223.hpc.itc.rwth-aachen.de",39,"n23m0223.hpc.itc.rwth-aachen.de",39,"39",134.61.46.53,"ib0",64,20,2432.23,2538.7,2643.48,2768.35,3023.33,3272.62,3331.31
0,"n23m0223.hpc.itc.rwth-aachen.de",40,"n23m0223.hpc.itc.rwth-aachen.de",40,"40",134.61.46.53,"ib0",64,20,2443.3,2550.24,2657.05,2750.8,3003.04,3178.55,3343.17
0,"n23m0223.hpc.itc.rwth-aachen.de",41,"n23m0223.hpc.itc.rwth-aachen.de",41,"41",134.61.46.53,"ib0",64,20,2462.73,2568.87,2674.86,2799.29,3055.7,3307.14,3360.43
0,"n23m0223.hpc.itc.rwth-aachen.de",42,"n23m0223.hpc.itc.rwth-aachen.de",42,"42",134.61.46.53,"ib0",64,20,2474.48,2581.81,2686.13,2781.55,3034.23,3209.07,3374.61
0,"n23m0223.hpc.itc.rwth-aachen.de",43,"n23m0223.hpc.itc.rwth-aachen.de",43,"43",134.61.46.53,"ib0",64,20,2490.64,2599.4,2705.05,2829.72,3084.9,3338.81,3393.19
0,"n23m0223.hpc.itc.rwth-aachen.de",44,"n23m0223.hpc.itc.rwth-aachen.de",44,"44",134.61.46.53,"ib0",64,20,2503.46,2611.56,2721.81,2812.53,3065.45,3240.2,3404.96
0,"n23m0223.hpc.itc.rwth-aachen.de",45,"n23m0223.hpc.itc.rwth-aachen.de",45,"45",134.61.46.53,"ib0",64,20,2522.4,2627.66,2738.8,2861.12,3115.27,3369.46,3423.92
0,"n23m0223.hpc.itc.rwth-aachen.de",46,"n23m0223.hpc.itc.rwth-aachen.de",46,"46",134.61.46.53,"ib0",64,20,2535.92,2640.29,2752.09,2843.68,3097.22,3269.76,3437.09
0,"n23m0223.hpc.itc.rwth-aachen.de",47,"n23m0223.hpc.itc.rwth-aachen.de",47,"47",134.61.46.53,"ib0",64,20,2551.26,2655.9,2768.32,2890.59,3145.52,3401.26,3452.75
0,"n23m0223.hpc.itc.rwth-aachen.de",48,"n23m0223.hpc.itc.rwth-aachen.de",48,"48",134.61.46.53,"ib0",64,20,2571.24,2675.88,2790.4,2880.55,3133.03,3308.23,3472.11
0,"n23m0223.hpc.itc.rwth-aachen.de",49,"n23m0223.hpc.itc.rwth-aachen.de",49,"49",134.61.46.53,"ib0",64,20,2589.89,2695.57,2810.61,2931.18,3183.26,3443.79,3492.81
