target_rank,target_host,target_cpu,target_affinity,target_ip,iface,senders_count,payload_bytes,total_ingest_bytes,iters,ingest_bw_min_gibs,ingest_bw_p25_gibs,ingest_bw_median_gibs,ingest_bw_mean_gibs,ingest_bw_p75_gibs,ingest_bw_p95_gibs,ingest_bw_max_gibs,sender_lat_min_us,sender_lat_p25_us,sender_lat_median_us,sender_lat_mean_us,sender_lat_p75_us,sender_lat_p95_us,sender_lat_p99_us,sender_lat_max_us
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,"ib0",191,64,12224,20,1.84134e-05,0.00183072,0.00193287,0.00182166,0.00197502,0.00205204,0.00206774,1905.95,2952.21,3905.87,16963.6,4640.56,5626.85,476891,617616
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,"ib0",191,1024,195584,20,0.029118,0.0297273,0.0304661,0.0305773,0.0312766,0.0331703,0.0331846,1240.77,2916.52,3841.87,3769.49,4597.88,5230.96,5456.47,17274.6
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,"ib0",191,4096,782336,20,0.086142,0.116965,0.118452,0.118846,0.123315,0.130545,0.130951,1325.86,2909.72,3862.33,3871.84,4754.84,5449.42,7248.17,7806.61
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,"ib0",191,16384,3.12934e+06,20,0.40217,0.42522,0.430556,0.434626,0.433577,0.47588,0.485936,1985.39,3069.86,4188.07,4125.95,5146.26,5956.62,6188.11,8446.91
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,"ib0",191,65536,1.25174e+07,20,1.07288,1.26162,1.28986,1.28354,1.32018,1.35547,1.36336,1904.38,3469.66,5030.92,5097.56,6626.87,7950.89,8309.52,10189.9
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,"ib0",191,262144,5.00695e+07,20,2.49517,2.57677,2.59884,2.60792,2.64965,2.68483,2.68846,1966.54,4348.06,8015.78,9351.02,15072.6,16893.8,17371.9,17746.8
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,"ib0",191,1048576,2.00278e+08,20,3.1327,3.24379,3.28874,3.31198,3.41852,3.44062,3.44554,2557.59,10972.5,33885,30451.8,50044.2,55517.6,57321.8,58747.4
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,"ib0",191,4194304,8.01112e+08,20,2.81037,3.508,3.5501,3.49118,3.57028,3.60762,3.60911,3652.02,44970,115869,118194,198381,209426,222532,265272
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",134.61.44.214,"ib0",191,64,12224,20,0.00166769,0.00183561,0.00190773,0.0019152,0.00200738,0.00204736,0.00208344,1930.77,2826.09,3515.72,3593.42,4345.81,5176.96,5588.06,6170.44
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",134.61.44.214,"ib0",191,1024,195584,20,0.0275953,0.0305632,0.0310986,0.0313534,0.0322366,0.0338812,0.035923,1819.03,2894.04,3579.78,3640.59,4340.6,5172.37,5603.34,15317.3
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",134.61.44.214,"ib0",191,4096,782336,20,0.101585,0.118996,0.120194,0.120842,0.12379,0.128129,0.133273,1895.42,2817.79,3534.85,3626.99,4416.07,5216.24,5441.98,6514.66
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",134.61.44.214,"ib0",191,16384,3.12934e+06,20,0.311162,0.432701,0.439729,0.433616,0.446952,0.459588,0.462108,751.106,3048.26,4032.29,4086.75,4992.18,5979.04,7927.99,8686.78
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",134.61.44.214,"ib0",191,65536,1.25174e+07,20,1.19176,1.26732,1.28634,1.29108,1.31661,1.3745,1.38307,1989.55,3957.56,5498.72,5394.98,6739.9,8087.13,8486.74,8872.63
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",134.61.44.214,"ib0",191,262144,5.00695e+07,20,2.35276,2.58677,2.63432,2.62247,2.65256,2.75732,2.76687,2430.28,8869.68,11685.4,11416.5,14763.8,16534.5,17235.3,30088
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",134.61.44.214,"ib0",191,1048576,2.00278e+08,20,0.362361,3.4809,3.52385,3.31395,3.53878,3.55853,3.57226,3244.5,30509.2,41081.8,47362.7,48706.1,57732,406081,513869
96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",134.61.44.214,"ib0",191,4194304,8.01112e+08,20,3.17492,3.59645,3.61022,3.58737,3.63331,3.66264,3.80503,18593.8,62770.8,151460,128664,195910,201252,204146,234081
