target_rank,target_host,target_cpu,target_affinity,target_ip,iface,senders_count,payload_bytes,total_ingest_bytes,iters,ingest_bw_min_gibs,ingest_bw_p25_gibs,ingest_bw_median_gibs,ingest_bw_mean_gibs,ingest_bw_p75_gibs,ingest_bw_p95_gibs,ingest_bw_max_gibs,sender_lat_min_us,sender_lat_p25_us,sender_lat_median_us,sender_lat_mean_us,sender_lat_p75_us,sender_lat_p95_us,sender_lat_p99_us,sender_lat_max_us
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,"ib0",191,64,12224,20,0.00174317,0.0018096,0.00184159,0.001865,0.00192274,0.00204311,0.00205224,1963.7,3015.42,3879.21,3822.92,4596.23,5386.95,5672.94,5887.2
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,"ib0",191,1024,195584,20,0.0287288,0.0294905,0.0304657,0.0307699,0.0314703,0.0334855,0.0336088,1941.33,2981,3828.72,3797.59,4636.47,5299.5,5530.72,5678.9
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,"ib0",191,4096,782336,20,0.0901247,0.116796,0.120514,0.11942,0.123549,0.132694,0.132706,1901.12,2995.77,3918.35,3894.77,4707.5,5452.36,6888.51,7414.96
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,"ib0",191,16384,3.12934e+06,20,0.428259,0.435785,0.439084,0.443562,0.444302,0.481856,0.482482,1970.11,3064.73,4103.21,4067.61,5050.4,5817.89,6000.34,6146.32
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,"ib0",191,65536,1.25174e+07,20,1.04618,1.25001,1.28859,1.27179,1.30598,1.31973,1.32088,854.494,3684.37,5251.55,5345.62,6941.28,8236.04,9289.57,10474.7
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,"ib0",191,262144,5.00695e+07,20,2.55223,2.5861,2.61287,2.62267,2.64689,2.70816,2.74725,2241.2,4457.4,8132.64,9353.82,14936.3,16747.8,17079.7,17360.2
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,"ib0",191,1048576,2.00278e+08,20,3.36399,3.38767,3.40909,3.41107,3.43189,3.45015,3.455,3032.95,10851.4,31976.1,29631.1,48861.3,53079.4,53790.3,54660.3
0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",134.61.46.53,"ib0",191,4194304,8.01112e+08,20,1.50641,3.45818,3.54948,3.33825,3.58352,3.622,3.63781,4616.81,45892.1,149918,123417,197208,208497,214453,495210
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",134.61.46.66,"ib0",191,64,12224,20,0.00173267,0.00184247,0.00187502,0.00188441,0.00192115,0.00207143,0.00208073,1942.2,2823.66,3603.88,3632.39,4361.33,5261.74,5634.83,5918
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",134.61.46.66,"ib0",191,1024,195584,20,0.0283291,0.0293639,0.0304426,0.0303895,0.0312211,0.0322869,0.032916,1932.03,2797.71,3461.38,3572.41,4336.46,5153.11,5520.45,5768.1
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",134.61.46.66,"ib0",191,4096,782336,20,0.112972,0.115994,0.117982,0.119203,0.122293,0.125965,0.129523,1923.73,2840.64,3608.26,3643.23,4408.29,5267.65,5571.43,5728.36
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",134.61.46.66,"ib0",191,16384,3.12934e+06,20,0.416392,0.424235,0.433318,0.432519,0.439984,0.446312,0.449005,2024.65,3134.79,4050.08,4064.36,4956.65,5844.91,6102.54,6318.03
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",134.61.46.66,"ib0",191,65536,1.25174e+07,20,1.04467,1.23972,1.26388,1.24688,1.29378,1.31339,1.33296,2068.66,4038.91,5716.91,5575.31,6992.27,8314.21,9023.8,9994.17
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",134.61.46.66,"ib0",191,262144,5.00695e+07,20,2.49447,2.59931,2.62441,2.6283,2.67466,2.6966,2.71689,2375.07,9300.58,12048.3,11642.4,14938.3,16541.5,17110.7,18081.5
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",134.61.46.66,"ib0",191,1048576,2.00278e+08,20,3.34156,3.43292,3.46935,3.45085,3.48166,3.4892,3.49186,3262.3,31250,40414,38357.6,48321.2,51779.7,53173.2,54992.6
96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0",134.61.46.66,"ib0",191,4194304,8.01112e+08,20,2.62225,3.43381,3.47844,3.40507,3.52244,3.60846,3.61939,22936.1,63794.4,156923,133620,201387,210492,214724,283608
