pattern,target_rank,target_host,worker_rank,worker_host,worker_cpu,worker_affinity,locality_tier,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",1,"n23m0123.hpc.itc.rwth-aachen.de",1,"1","same_numa",4194304,20,40795.2,75006.3,83078.8,77894.5,87655.8,89890.2,92798.2
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",2,"n23m0123.hpc.itc.rwth-aachen.de",2,"2","same_numa",4194304,20,39497.1,74642.4,82706.3,77918.7,86822.4,93542.7,94160.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",3,"n23m0123.hpc.itc.rwth-aachen.de",3,"3","same_numa",4194304,20,50796.6,81195.7,86180.6,83931.7,88930.5,93583.1,96632.2
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",4,"n23m0123.hpc.itc.rwth-aachen.de",4,"4","same_numa",4194304,20,48981.7,76929.9,83908.4,80244.9,86954.2,92396.9,95162
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",5,"n23m0123.hpc.itc.rwth-aachen.de",5,"5","same_numa",4194304,20,73045.1,82365.1,84280.9,84815.3,87425.6,93356.5,97963.1
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",6,"n23m0123.hpc.itc.rwth-aachen.de",6,"6","same_numa",4194304,20,51568.7,79576.4,85174,82005.3,88263.4,94132.5,95241.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",7,"n23m0123.hpc.itc.rwth-aachen.de",7,"7","same_numa",4194304,20,73501.9,83524.4,84790.2,85795,90026.4,93035,95577.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",8,"n23m0123.hpc.itc.rwth-aachen.de",8,"8","same_numa",4194304,20,61655,82221.2,87240.5,84306.7,89502.2,93138.9,93837.5
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",9,"n23m0123.hpc.itc.rwth-aachen.de",9,"9","same_numa",4194304,20,64327.7,82722.9,85740.5,84583,89448.9,95058.4,97550.1
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",10,"n23m0123.hpc.itc.rwth-aachen.de",10,"10","same_numa",4194304,20,45944.9,79235.8,84314.9,80659,85965.9,88382.9,89041.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",11,"n23m0123.hpc.itc.rwth-aachen.de",11,"11","same_numa",4194304,20,74347.4,82831,85003.2,84869.1,86872.9,89559.9,90213.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",12,"n23m0123.hpc.itc.rwth-aachen.de",12,"12","same_socket_diff_numa",4194304,20,70916.7,82072.2,83884.1,82757.3,86093.9,88897.9,89297.9
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",13,"n23m0123.hpc.itc.rwth-aachen.de",13,"13","same_socket_diff_numa",4194304,20,49702.7,81464.2,84009.4,82568.3,86568.2,90772.4,95899.1
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",14,"n23m0123.hpc.itc.rwth-aachen.de",14,"14","same_socket_diff_numa",4194304,20,70592.4,80764.8,84390.9,83673.3,86466.7,91513.7,94477.2
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",15,"n23m0123.hpc.itc.rwth-aachen.de",15,"15","same_socket_diff_numa",4194304,20,73860.3,82962.3,83852,84354.6,86453.5,90056.2,90915
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",16,"n23m0123.hpc.itc.rwth-aachen.de",16,"16","same_socket_diff_numa",4194304,20,48926.3,81106.2,84332.3,81245.1,86356.8,89708.8,89906.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",17,"n23m0123.hpc.itc.rwth-aachen.de",17,"17","same_socket_diff_numa",4194304,20,43580.5,83792.4,85328.6,80954.1,88049,90415.8,90567.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",18,"n23m0123.hpc.itc.rwth-aachen.de",18,"18","same_socket_diff_numa",4194304,20,55318.4,81834.7,83437.1,82594.1,85622,90421.3,94531.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",19,"n23m0123.hpc.itc.rwth-aachen.de",19,"19","same_socket_diff_numa",4194304,20,65869.6,82371.6,85047.1,84045.9,87570.7,93837.2,95999.5
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",20,"n23m0123.hpc.itc.rwth-aachen.de",20,"20","same_socket_diff_numa",4194304,20,73650.8,77429,84674.6,83346.5,86848.3,89946.6,94489.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",21,"n23m0123.hpc.itc.rwth-aachen.de",21,"21","same_socket_diff_numa",4194304,20,71308.1,82264,83868.7,84399.2,86131,94268.8,95804.9
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",22,"n23m0123.hpc.itc.rwth-aachen.de",22,"22","same_socket_diff_numa",4194304,20,69196.1,83060.2,84854.4,84499.8,86185.2,90674.6,90822.1
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",23,"n23m0123.hpc.itc.rwth-aachen.de",23,"23","same_socket_diff_numa",4194304,20,74441.9,83195.2,85100.6,85372.1,86770.1,90033.1,98061.7
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",24,"n23m0123.hpc.itc.rwth-aachen.de",24,"24","same_socket_diff_numa",4194304,20,72799.2,80787.2,84555.9,83407,87046.5,89756.8,90211.1
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",25,"n23m0123.hpc.itc.rwth-aachen.de",25,"25","same_socket_diff_numa",4194304,20,75677.7,83301.9,84971.2,84762.6,87494.3,89653.2,96106.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",26,"n23m0123.hpc.itc.rwth-aachen.de",26,"26","same_socket_diff_numa",4194304,20,72036.5,80591.1,83635.4,83413,86767.1,89519.5,91566.8
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",27,"n23m0123.hpc.itc.rwth-aachen.de",27,"27","same_socket_diff_numa",4194304,20,75122.9,82881.9,84788,84775.4,85882.7,89870.4,90561.2
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",28,"n23m0123.hpc.itc.rwth-aachen.de",28,"28","same_socket_diff_numa",4194304,20,74390.2,82891.1,85788.7,84925.4,88061.2,90657.8,97235.5
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",29,"n23m0123.hpc.itc.rwth-aachen.de",29,"29","same_socket_diff_numa",4194304,20,73479.2,83195.6,84925.5,85361.7,87488.3,90166,97440.2
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",30,"n23m0123.hpc.itc.rwth-aachen.de",30,"30","same_socket_diff_numa",4194304,20,79156,83255.5,84116.2,85486.6,85470.7,93941,97850
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",31,"n23m0123.hpc.itc.rwth-aachen.de",31,"31","same_socket_diff_numa",4194304,20,77970.3,82822.2,84701.3,85324.7,87391.6,92303.7,95696.2
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",32,"n23m0123.hpc.itc.rwth-aachen.de",32,"32","same_socket_diff_numa",4194304,20,83578.2,87224.2,88852.3,89255.6,91712.7,93425,93523.4
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",33,"n23m0123.hpc.itc.rwth-aachen.de",33,"33","same_socket_diff_numa",4194304,20,84285.1,86535.4,88650.2,89323.7,92236.7,94243.5,94343.8
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",34,"n23m0123.hpc.itc.rwth-aachen.de",34,"34","same_socket_diff_numa",4194304,20,85348.3,87529.7,88896.7,89461.1,91911.4,93796.8,97327.4
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",35,"n23m0123.hpc.itc.rwth-aachen.de",35,"35","same_socket_diff_numa",4194304,20,83775,87004.3,89425.9,89479.7,91421.1,94539.5,95819.2
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",36,"n23m0123.hpc.itc.rwth-aachen.de",36,"36","same_socket_diff_numa",4194304,20,83676.2,86535.8,87627.8,89057.1,91649.2,94809,97115.5
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",37,"n23m0123.hpc.itc.rwth-aachen.de",37,"37","same_socket_diff_numa",4194304,20,84639.9,86459,87807.6,88594.7,91381.2,92554.7,92645.1
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",38,"n23m0123.hpc.itc.rwth-aachen.de",38,"38","same_socket_diff_numa",4194304,20,84183.3,86909.7,89090.1,89301,91815.6,93428.6,94375.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",39,"n23m0123.hpc.itc.rwth-aachen.de",39,"39","same_socket_diff_numa",4194304,20,85204.4,86182.7,87643.4,88699.5,90871.7,92889.8,95443.8
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",40,"n23m0123.hpc.itc.rwth-aachen.de",40,"40","same_socket_diff_numa",4194304,20,84075.2,86232.1,88431.2,88787.1,89628.4,94410.8,95253.7
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",41,"n23m0123.hpc.itc.rwth-aachen.de",41,"41","same_socket_diff_numa",4194304,20,84837.5,86589.6,88293.3,89058.8,91242,94616.3,95131.2
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",42,"n23m0123.hpc.itc.rwth-aachen.de",42,"42","same_socket_diff_numa",4194304,20,84738.4,86830.6,89236.9,89531.1,92416.1,95107.8,96732.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",43,"n23m0123.hpc.itc.rwth-aachen.de",43,"43","same_socket_diff_numa",4194304,20,83975,86825.6,88372.8,88937.6,90790.2,94013.3,95338.7
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",44,"n23m0123.hpc.itc.rwth-aachen.de",44,"44","same_socket_diff_numa",4194304,20,83876.2,86365.1,88303.5,88826,91181.9,92800.2,97642.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",45,"n23m0123.hpc.itc.rwth-aachen.de",45,"45","same_socket_diff_numa",4194304,20,84385.4,86478,88653,89092,91590.3,93711.1,97739.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",46,"n23m0123.hpc.itc.rwth-aachen.de",46,"46","same_socket_diff_numa",4194304,20,85247.3,86691.4,88062.8,88789.5,90950.4,92344.2,93818.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",47,"n23m0123.hpc.itc.rwth-aachen.de",47,"47","same_socket_diff_numa",4194304,20,84937,86723,88421.2,88911,90927.5,93027.9,94262.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",48,"n23m0123.hpc.itc.rwth-aachen.de",48,"48","cross_socket",4194304,20,84418.1,89590.1,90591.2,91535,94433.4,97527.9,97842
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",49,"n23m0123.hpc.itc.rwth-aachen.de",49,"49","cross_socket",4194304,20,86158.6,88969.6,91985.7,92055,94469.4,97049,98470.4
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",50,"n23m0123.hpc.itc.rwth-aachen.de",50,"50","cross_socket",4194304,20,86405.6,89802.8,91750.3,92045.8,94380,96388.2,97267.5
