pattern,target_rank,target_host,worker_rank,worker_host,worker_cpu,worker_affinity,locality_tier,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",1,"n23m0223.hpc.itc.rwth-aachen.de",1,"1","same_numa",4194304,20,77302.6,81349.3,84430.9,84841.2,87662.7,91463.1,94629.1
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",2,"n23m0223.hpc.itc.rwth-aachen.de",2,"2","same_numa",4194304,20,75383.4,82887.6,84775.7,85795.2,89458,91863.4,95731.2
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",3,"n23m0223.hpc.itc.rwth-aachen.de",3,"3","same_numa",4194304,20,75360.8,82769.5,85852.7,86920.1,89885.2,99259.2,102052
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",4,"n23m0223.hpc.itc.rwth-aachen.de",4,"4","same_numa",4194304,20,75324.2,82077.5,85642.2,86520.5,90540.8,95568.1,96543.7
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",5,"n23m0223.hpc.itc.rwth-aachen.de",5,"5","same_numa",4194304,20,81164.5,82738,85743.1,86840.6,89825,94245.3,98463.8
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",6,"n23m0223.hpc.itc.rwth-aachen.de",6,"6","same_numa",4194304,20,80425.5,84368.3,87409.9,87351.6,89524.9,91914.8,96088.9
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",7,"n23m0223.hpc.itc.rwth-aachen.de",7,"7","same_numa",4194304,20,81826.2,84049.8,85869.1,86577.5,88538.5,92177.8,96070.5
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",8,"n23m0223.hpc.itc.rwth-aachen.de",8,"8","same_numa",4194304,20,64685.5,84034.6,87820.6,85953.8,89393.8,93246.6,95617.4
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",9,"n23m0223.hpc.itc.rwth-aachen.de",9,"9","same_numa",4194304,20,80291.8,83942.5,87714.3,87121.3,89448.7,91746.5,97551.1
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",10,"n23m0223.hpc.itc.rwth-aachen.de",10,"10","same_numa",4194304,20,82485.8,84133.3,86934,87341.9,89416.3,91832.4,100266
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",11,"n23m0223.hpc.itc.rwth-aachen.de",11,"11","same_numa",4194304,20,80066.2,81931.5,85302.6,85527.1,89498.6,90766.4,93226.8
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",12,"n23m0223.hpc.itc.rwth-aachen.de",12,"12","same_socket_diff_numa",4194304,20,79128.9,82876.6,84440.9,85449.9,88594.2,93472,93803
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",13,"n23m0223.hpc.itc.rwth-aachen.de",13,"13","same_socket_diff_numa",4194304,20,81047.5,83923.2,85644.8,86988.2,90115.4,91203,98230.8
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",14,"n23m0223.hpc.itc.rwth-aachen.de",14,"14","same_socket_diff_numa",4194304,20,81379.6,82814,84883.5,86708.8,90219.2,95641.5,100145
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",15,"n23m0223.hpc.itc.rwth-aachen.de",15,"15","same_socket_diff_numa",4194304,20,80721.2,82809,84845.1,86415.9,89141.1,93660.4,97328
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",16,"n23m0223.hpc.itc.rwth-aachen.de",16,"16","same_socket_diff_numa",4194304,20,72475.4,83729.6,85124.4,86117.7,89866.1,93529.2,93898.8
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",17,"n23m0223.hpc.itc.rwth-aachen.de",17,"17","same_socket_diff_numa",4194304,20,76716.4,83438,86778.4,85977.7,88557.7,91149,92142.7
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",18,"n23m0223.hpc.itc.rwth-aachen.de",18,"18","same_socket_diff_numa",4194304,20,81354.2,83744.8,85320.1,86547.9,88733.1,93225.1,97658.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",19,"n23m0223.hpc.itc.rwth-aachen.de",19,"19","same_socket_diff_numa",4194304,20,78125.2,83128.6,85081.8,86092.5,88441.8,94910.7,96311.7
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",20,"n23m0223.hpc.itc.rwth-aachen.de",20,"20","same_socket_diff_numa",4194304,20,79890.1,84323.1,86258.8,86523.2,88496.8,93675.6,95285
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",21,"n23m0223.hpc.itc.rwth-aachen.de",21,"21","same_socket_diff_numa",4194304,20,79222.1,83520.2,84644.9,86261.6,89972.7,95650.3,96139.9
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",22,"n23m0223.hpc.itc.rwth-aachen.de",22,"22","same_socket_diff_numa",4194304,20,81990.4,83212.9,84315,85603.3,87645.5,90694.1,97436.1
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",23,"n23m0223.hpc.itc.rwth-aachen.de",23,"23","same_socket_diff_numa",4194304,20,80622.6,84483.6,88374.9,87899.8,91193.2,93758.9,94130
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",24,"n23m0223.hpc.itc.rwth-aachen.de",24,"24","same_socket_diff_numa",4194304,20,75886.6,83576.5,87177.3,86701,89865,93640.3,96562.3
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",25,"n23m0223.hpc.itc.rwth-aachen.de",25,"25","same_socket_diff_numa",4194304,20,80104.5,84083.5,87336.1,87592.7,91443.6,95225.7,96660.5
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",26,"n23m0223.hpc.itc.rwth-aachen.de",26,"26","same_socket_diff_numa",4194304,20,79339.6,81562.4,85225.4,86865.9,90796.2,95317.9,98115.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",27,"n23m0223.hpc.itc.rwth-aachen.de",27,"27","same_socket_diff_numa",4194304,20,81589.7,84379.7,87914.5,87923.4,90536.7,93661.7,99789.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",28,"n23m0223.hpc.itc.rwth-aachen.de",28,"28","same_socket_diff_numa",4194304,20,82369,83686,84267.7,85871.2,86280.1,92179.6,96877.7
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",29,"n23m0223.hpc.itc.rwth-aachen.de",29,"29","same_socket_diff_numa",4194304,20,82106.1,85651.3,87812.6,88192.3,90074.5,96051.2,96430.7
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",30,"n23m0223.hpc.itc.rwth-aachen.de",30,"30","same_socket_diff_numa",4194304,20,81674.4,84198.1,86275.5,86934,88629.7,91432.9,99675.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",31,"n23m0223.hpc.itc.rwth-aachen.de",31,"31","same_socket_diff_numa",4194304,20,80321.5,83438.6,84596.9,85540.1,88076.2,92360.3,94711.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",32,"n23m0223.hpc.itc.rwth-aachen.de",32,"32","same_socket_diff_numa",4194304,20,77914.1,86048.4,89075.3,88961.5,91781.3,94097.5,100359
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",33,"n23m0223.hpc.itc.rwth-aachen.de",33,"33","same_socket_diff_numa",4194304,20,72296.2,86149.7,88668,88308,91506.8,93908.1,95846.2
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",34,"n23m0223.hpc.itc.rwth-aachen.de",34,"34","same_socket_diff_numa",4194304,20,68408.1,85939,88219.1,88039.7,90967.5,94638.4,97764.7
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",35,"n23m0223.hpc.itc.rwth-aachen.de",35,"35","same_socket_diff_numa",4194304,20,80513,87325.9,89245.5,89584.8,91212.7,95821.7,100021
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",36,"n23m0223.hpc.itc.rwth-aachen.de",36,"36","same_socket_diff_numa",4194304,20,69982.6,87431.8,88881.5,88614.8,90752.1,95821.7,97986.4
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",37,"n23m0223.hpc.itc.rwth-aachen.de",37,"37","same_socket_diff_numa",4194304,20,79557.7,87135.3,88283.8,88937.2,90230.3,96181.9,96424.8
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",38,"n23m0223.hpc.itc.rwth-aachen.de",38,"38","same_socket_diff_numa",4194304,20,81029.7,86152.2,87761.6,88984.5,91789.4,96275.9,97878
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",39,"n23m0223.hpc.itc.rwth-aachen.de",39,"39","same_socket_diff_numa",4194304,20,71041.7,86405.1,88774.5,88644,91424.1,94774.1,98336.8
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",40,"n23m0223.hpc.itc.rwth-aachen.de",40,"40","same_socket_diff_numa",4194304,20,80924.7,86816.6,88924,88880.9,90929.8,95517.9,95829.2
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",41,"n23m0223.hpc.itc.rwth-aachen.de",41,"41","same_socket_diff_numa",4194304,20,74840.5,86138.6,88851.2,88605.6,90631.6,94978.6,95943.1
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",42,"n23m0223.hpc.itc.rwth-aachen.de",42,"42","same_socket_diff_numa",4194304,20,80404,85882.9,87852.4,88530,90035.6,96095.9,98680.5
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",43,"n23m0223.hpc.itc.rwth-aachen.de",43,"43","same_socket_diff_numa",4194304,20,81136.5,86698.8,87595.3,89128,90928,96514.6,99215.9
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",44,"n23m0223.hpc.itc.rwth-aachen.de",44,"44","same_socket_diff_numa",4194304,20,76489.8,85629.6,88072.5,88516.1,90661.6,95216,98561.7
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",45,"n23m0223.hpc.itc.rwth-aachen.de",45,"45","same_socket_diff_numa",4194304,20,62085.8,85680.3,87751.8,87592.4,91341.5,95778.5,96762.3
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",46,"n23m0223.hpc.itc.rwth-aachen.de",46,"46","same_socket_diff_numa",4194304,20,81573.5,86456.2,89503,89319.9,90723.7,94518.8,99889.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",47,"n23m0223.hpc.itc.rwth-aachen.de",47,"47","same_socket_diff_numa",4194304,20,81680.2,87070.6,88906.1,89122.4,90842.3,95831.6,96303.9
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",48,"n23m0223.hpc.itc.rwth-aachen.de",48,"48","cross_socket",4194304,20,82923.1,88782.2,90855.6,91308.1,93249.6,99429.1,100283
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",49,"n23m0223.hpc.itc.rwth-aachen.de",49,"49","cross_socket",4194304,20,80127.2,86816.8,89508.2,89697.9,92454.8,96483.6,96882.5
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",50,"n23m0223.hpc.itc.rwth-aachen.de",50,"50","cross_socket",4194304,20,81842.8,87810.6,89423.5,90956.9,94037.4,97899.2,99945.3
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",51,"n23m0223.hpc.itc.rwth-aachen.de",51,"51","cross_socket",4194304,20,82610.7,87213.4,89509.1,90363.5,92171.4,97517.7,98840.2
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",52,"n23m0223.hpc.itc.rwth-aachen.de",52,"52","cross_socket",4194304,20,80675.8,86731.5,89573.9,90240.4,92512.3,97216.4,100780
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",53,"n23m0223.hpc.itc.rwth-aachen.de",53,"53","cross_socket",4194304,20,81296.5,87152.1,90023.1,89782.5,91647.5,95878.8,97045.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",54,"n23m0223.hpc.itc.rwth-aachen.de",54,"54","cross_socket",4194304,20,81464.3,86228.8,89334.5,89485.3,91828.6,95071.3,98823.8
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",55,"n23m0223.hpc.itc.rwth-aachen.de",55,"55","cross_socket",4194304,20,82454,88252.3,90401.2,90784.4,93801.1,97632.1,100464
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",56,"n23m0223.hpc.itc.rwth-aachen.de",56,"56","cross_socket",4194304,20,82004.2,88159.8,89672.7,90111.2,91269.4,96341.6,100114
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",57,"n23m0223.hpc.itc.rwth-aachen.de",57,"57","cross_socket",4194304,20,80285.1,87432.5,89969.6,90148.5,92649.6,95270,97539.3
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",58,"n23m0223.hpc.itc.rwth-aachen.de",58,"58","cross_socket",4194304,20,82133.7,87336.8,89839.6,90133.7,90849.5,98673.8,98983.4
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",59,"n23m0223.hpc.itc.rwth-aachen.de",59,"59","cross_socket",4194304,20,82767.6,86158.4,90009.8,89705.3,91528.5,97479.2,99542.8
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",60,"n23m0223.hpc.itc.rwth-aachen.de",60,"60","cross_socket",4194304,20,83242.9,86331.4,88808.7,89347.7,91262.8,95655.2,97869.9
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",61,"n23m0223.hpc.itc.rwth-aachen.de",61,"61","cross_socket",4194304,20,80819.9,86810,89005.9,89250.2,91776.1,94678.7,97201
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",62,"n23m0223.hpc.itc.rwth-aachen.de",62,"62","cross_socket",4194304,20,82287.8,85998.5,89079.3,89650.8,92827.5,98082.4,98189.9
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",63,"n23m0223.hpc.itc.rwth-aachen.de",63,"63","cross_socket",4194304,20,83081.7,88385.3,90800.7,90901.1,92756.6,97249.6,98514.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",64,"n23m0223.hpc.itc.rwth-aachen.de",64,"64","cross_socket",4194304,20,46825.6,84429.8,90049.6,86368.2,91229.7,95452.8,99791.3
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",65,"n23m0223.hpc.itc.rwth-aachen.de",65,"65","cross_socket",4194304,20,40142.4,41885,58715.3,64486.1,86857.4,91853,95286.8
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",66,"n23m0223.hpc.itc.rwth-aachen.de",66,"66","cross_socket",4194304,20,40555.7,60412.9,73274.8,71043.3,83454.3,89058,92258.9
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",67,"n23m0223.hpc.itc.rwth-aachen.de",67,"67","cross_socket",4194304,20,48634.4,69934.8,82090.5,78348.9,88393.1,92649.6,99317.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",68,"n23m0223.hpc.itc.rwth-aachen.de",68,"68","cross_socket",4194304,20,42225,75827.1,81948.5,78426.7,87372.8,90596.2,99153.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",69,"n23m0223.hpc.itc.rwth-aachen.de",69,"69","cross_socket",4194304,20,60312.3,76389.4,84659.4,83149.5,89658.7,96705.3,99636.4
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",70,"n23m0223.hpc.itc.rwth-aachen.de",70,"70","cross_socket",4194304,20,60100.3,72625.1,80979.4,79393,86702.2,91405.4,93398.3
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",71,"n23m0223.hpc.itc.rwth-aachen.de",71,"71","cross_socket",4194304,20,68777.9,80543.5,85602.3,85207.1,90963.3,98386.4,98742.5
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",72,"n23m0223.hpc.itc.rwth-aachen.de",72,"72","cross_socket",4194304,20,64044.2,82087.8,83738,83350.1,87682.8,92083.9,92576.9
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",73,"n23m0223.hpc.itc.rwth-aachen.de",73,"73","cross_socket",4194304,20,59519.2,78537.5,85031.6,81658.7,88211.5,90314.5,92259.5
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",74,"n23m0223.hpc.itc.rwth-aachen.de",74,"74","cross_socket",4194304,20,59208.5,76586.3,82135.8,81820.6,88387.7,92232.1,96964
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",75,"n23m0223.hpc.itc.rwth-aachen.de",75,"75","cross_socket",4194304,20,69380.3,81441.3,85907.7,85289.6,89494.2,98530.7,100634
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",76,"n23m0223.hpc.itc.rwth-aachen.de",76,"76","cross_socket",4194304,20,68766.1,79611.5,88161.5,84607.3,90916.4,97737.6,98258.8
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",77,"n23m0223.hpc.itc.rwth-aachen.de",77,"77","cross_socket",4194304,20,62524.2,81186.9,86552.2,85735.2,90636.1,96435.3,99482.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",78,"n23m0223.hpc.itc.rwth-aachen.de",78,"78","cross_socket",4194304,20,71128.7,82695.6,85739.6,84224.3,88672.5,90683.4,90872.9
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",79,"n23m0223.hpc.itc.rwth-aachen.de",79,"79","cross_socket",4194304,20,75411.7,82176.6,84763.6,85325.9,88720.6,91847.1,92230.9
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",80,"n23m0223.hpc.itc.rwth-aachen.de",80,"80","cross_socket",4194304,20,37274.4,82342.2,83534.5,81051.5,86663.8,97642.3,98038.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",81,"n23m0223.hpc.itc.rwth-aachen.de",81,"81","cross_socket",4194304,20,46984.2,80962,86378.5,83753.9,90170.7,95280.3,100943
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",82,"n23m0223.hpc.itc.rwth-aachen.de",82,"82","cross_socket",4194304,20,68812.5,78418.8,85373.1,83279.8,87912,93398.1,98994.3
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",83,"n23m0223.hpc.itc.rwth-aachen.de",83,"83","cross_socket",4194304,20,70522.5,81750.8,84982,84281.5,87453.3,91190.3,91411.3
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",84,"n23m0223.hpc.itc.rwth-aachen.de",84,"84","cross_socket",4194304,20,72171.4,81874.9,83045.9,83793.5,85388.4,93627.2,101078
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",85,"n23m0223.hpc.itc.rwth-aachen.de",85,"85","cross_socket",4194304,20,71660.9,82827.4,85482.1,85054.2,88734.7,92373.6,92429.5
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",86,"n23m0223.hpc.itc.rwth-aachen.de",86,"86","cross_socket",4194304,20,73457.5,82854.5,84113.1,84936.9,88321.4,92040.1,96644.2
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",87,"n23m0223.hpc.itc.rwth-aachen.de",87,"87","cross_socket",4194304,20,75760.9,82458.3,83152.6,84715.5,87844,90379.1,92079
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",88,"n23m0223.hpc.itc.rwth-aachen.de",88,"88","cross_socket",4194304,20,73108.3,79873.4,85124.6,84266,88070.9,92969.4,94657.2
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",89,"n23m0223.hpc.itc.rwth-aachen.de",89,"89","cross_socket",4194304,20,69428.9,82860.2,86995.2,85793.8,90696.2,92461.6,92464.9
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",90,"n23m0223.hpc.itc.rwth-aachen.de",90,"90","cross_socket",4194304,20,72693.4,80860.8,83393.7,83736.5,89290.6,91155.4,92946.8
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",91,"n23m0223.hpc.itc.rwth-aachen.de",91,"91","cross_socket",4194304,20,76844.2,82577,84211,85689.8,90136.5,92192.2,93552.2
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",92,"n23m0223.hpc.itc.rwth-aachen.de",92,"92","cross_socket",4194304,20,80389.4,83289.9,87423.4,87174.9,89159.1,95822.4,97295.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",93,"n23m0223.hpc.itc.rwth-aachen.de",93,"93","cross_socket",4194304,20,81109.1,82780.5,86568.3,86796.7,89877.2,92114.3,96002.2
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",94,"n23m0223.hpc.itc.rwth-aachen.de",94,"94","cross_socket",4194304,20,78184.8,82893.1,85945.1,86314.9,89772.3,93380.7,96145
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",95,"n23m0223.hpc.itc.rwth-aachen.de",95,"95","cross_socket",4194304,20,80951.7,82644,85215.6,86091.7,88778.9,92786,96708.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0","cross_node",4194304,20,13273.1,19765.3,34543.5,35708.9,50038.4,57091.9,62764.9
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",97,"n23m0236.hpc.itc.rwth-aachen.de",1,"1","cross_node",4194304,20,12502.8,13463.9,17284.3,19653.7,20486.5,36893.4,51409.8
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",98,"n23m0236.hpc.itc.rwth-aachen.de",2,"2","cross_node",4194304,20,12346,12839.9,13791.2,19359.7,24365.9,35993,37562.5
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",99,"n23m0236.hpc.itc.rwth-aachen.de",3,"3","cross_node",4194304,20,12522.6,13937.4,16897.2,21931.5,26219.1,47387.3,51217.8
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",100,"n23m0236.hpc.itc.rwth-aachen.de",4,"4","cross_node",4194304,20,12612,19078.2,24688.8,24777.7,28380.5,34788.5,51414.3
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",101,"n23m0236.hpc.itc.rwth-aachen.de",5,"5","cross_node",4194304,20,12507.1,15800.2,19600.8,23527.6,26242.7,44937.8,59439.5
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",102,"n23m0236.hpc.itc.rwth-aachen.de",6,"6","cross_node",4194304,20,13270.7,18078,22035.1,25683.7,32646.9,43181.9,48506.2
