pattern,target_rank,target_host,target_cpu,target_affinity,workers_count,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_min_us,worker_lat_p25_us,worker_lat_median_us,worker_lat_mean_us,worker_lat_p75_us,worker_lat_p95_us,worker_lat_p99_us,worker_lat_max_us
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,62.4573,91.3638,92.4285,91.7907,95.1832,97.857,98.2418,8.07212,8.07212,16.1442,12232.2,36902.1,62157.4,61928.5,87939.2,93817.5,97261.4,158979
2_fanout_1to191,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,16.4161,16.4204,16.4317,17.0208,17.0653,18.8973,20.8728,45.4059,45.4059,90.8117,7479.74,15692.6,16105.3,15928.4,16382.1,17979,20713.1,20868.3
3_full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,64.7122,65.8589,66.7552,68.4515,70.1326,76.7929,77.8207,11.1766,11.1766,22.3531,0.032,20655.9,50467.2,43110.4,65795.7,71905,75149.4,82447.1
4_gather_scatter,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,120.154,123.261,125.698,130.159,137.235,144.784,151.845,5.93558,5.93558,11.8712,114243,119291,123699,126078,130786,143471,151737,151844
5_immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,120.354,126.616,129.183,129.066,132.692,135.726,137.121,5.77547,5.77547,11.5509,15207.8,50407.3,85788.2,84154.7,121353,132045,135249,137099
6_serialized_ref,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,259.44,262.941,264.533,268.192,268.582,275.446,319.226,2.82042,2.82042,5.64085,143554,181285,208112,209690,238058,262772,294762,319186
7_credits_cap1,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,265.22,293.73,317.23,310.213,321.64,330.829,344.542,2.3519,2.3519,4.7038,1187.58,1324.66,1413.17,1613.81,1852.52,2268.53,2357.87,15828.7
7_credits_cap2,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,271.592,299.101,321.564,314.803,331.271,335.362,345.528,2.32021,2.32021,4.64041,1409.82,2632.12,2854.34,3269.67,3737.57,4689.11,5074.19,12913.7
7_credits_cap4,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,315.669,317.853,319.617,321.024,323.382,326.26,339.053,2.33434,2.33434,4.66868,2223.13,5347.63,5925.56,6653.09,7952.55,9119.74,9329.01,19916.3
7_credits_cap8,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,310.205,317.97,319.611,319.423,321.305,323.527,327.023,2.33438,2.33438,4.66877,2239.21,10685,11782.8,13171.8,15712.8,18189.9,18536.8,19274.3
7_credits_cap16,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,315.086,317.25,319.374,319.88,320.694,326.291,335.604,2.33611,2.33611,4.67223,2227.27,21458.3,24300.4,25927.7,31375.2,35872.5,36763.3,37226.6
7_credits_cap32,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,311.518,318.956,321.002,320.617,323.776,325.347,328.642,2.32427,2.32427,4.64853,2253.36,42788.8,47814.3,50187.5,62236.3,71170.9,73752.1,74617.5
7_credits_cap64,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,315.689,318.108,320.821,320.444,322.286,323.732,326.496,2.32558,2.32558,4.65115,2168.8,83024.3,96437.9,93218,123561,134540,137723,142082
8_credits_locality_1local_1remote,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,292.955,316.765,329.469,322.51,330.085,331.406,335.617,2.26453,2.26453,4.52906,1240.27,3179.84,3417.79,3353.15,3606.43,3747.19,3833.88,4494.12
9_credits_aix_ramping,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,288.217,314.616,316.748,317.022,321.151,325.496,360.234,2.35548,2.35548,4.71096,1382.37,55542.5,133247,115252,171110,193085,199989,213917
1_incast_191to1,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,95.7377,96.6496,96.9387,97.0083,97.541,98.171,98.3323,7.69655,7.69655,15.3931,12819,36189.6,61211.8,63383.7,91172.7,95883.2,97216.2,98313.1
2_fanout_1to191,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,16.4293,17.0797,17.2583,17.6379,17.7283,20.2705,20.5251,43.2311,43.2311,86.4622,511.98,15913.2,16362.4,16303.9,17019.7,18865.8,20426.9,20521.1
3_full_duplex,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,64.4667,65.3709,65.8226,66.2523,66.9577,68.1286,69.6568,11.3349,11.3349,22.6698,0.034,31659.6,60405.2,52566.2,75423,84214.1,86511.5,88685.4
4_gather_scatter,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,119.187,121.216,122.935,123.574,124.154,129.466,136.374,6.06903,6.06903,12.1381,98125.2,114995,117434,118547,122530,124596,129096,136592
5_immediate_response,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,97.6304,106.058,108.76,110.694,117.173,123.666,125.738,6.86001,6.86001,13.72,13715.8,45288.4,76537,73429.8,102042,120429,123530,125731
6_serialized_ref,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,256.433,266.99,284.941,282.258,295.36,301.34,301.562,2.61841,2.61841,5.23682,144945,195754,225599,225071,253451,282987,295320,301585
7_credits_cap1,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,290.372,301.186,314.785,312.006,322.067,327.212,332.153,2.37017,2.37017,4.74034,1193.95,1345.87,1466.11,1620.67,1841.37,2234.76,2319.28,2631.58
7_credits_cap2,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,281.424,299.189,309.35,306.564,316.086,323.219,325.406,2.41181,2.41181,4.82362,1257.05,2650.73,2909.82,3182.97,3626.3,4452.53,4635.65,5108.65
7_credits_cap4,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,285.465,304.271,309.827,308.197,313.364,320.812,322.854,2.4081,2.4081,4.8162,1249.7,5346.77,5929.11,6379.67,7272.13,8906.11,9212.58,10294.8
7_credits_cap8,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,285.039,298.478,310.93,307.661,316.225,320.901,326.778,2.39955,2.39955,4.7991,1250.24,10777,11620.5,12568.3,14372.9,17712,17836.4,18653.4
7_credits_cap16,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,281.507,295.705,311.263,306.21,315.43,319.618,322.257,2.39699,2.39699,4.79397,1270.52,21003.5,22776.8,24325.2,27897.1,35444.9,36045,36873.4
7_credits_cap32,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,273.284,286.542,313.169,304.786,318.583,323.279,324.394,2.3824,2.3824,4.7648,1282.31,40828.3,44683.5,45566.9,54174.8,68911.5,71216.8,73877.9
7_credits_cap64,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,278.057,311.44,318.4,316.381,323.835,336.216,336.722,2.34326,2.34326,4.68651,1361.42,65603.3,88928.3,83044.6,105191,129122,137808,155721
8_credits_locality_1local_1remote,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,283.162,302.566,318.988,314.19,327.298,335.827,336.131,2.33894,2.33894,4.67789,1110.13,3016.44,3293.06,3244.36,3626.35,3794.31,3862.75,5181.16
9_credits_aix_ramping,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,275.571,293.615,313.66,306.425,318.771,323.017,323.619,2.37867,2.37867,4.75734,1222.67,43283.7,87469.3,96264.9,144185,207231,226455,234555
