pattern,target_rank,target_host,target_cpu,target_affinity,workers_count,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_min_us,worker_lat_p25_us,worker_lat_median_us,worker_lat_mean_us,worker_lat_p75_us,worker_lat_p95_us,worker_lat_p99_us,worker_lat_max_us
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,88.1308,90.162,91.1878,92.5275,93.5544,99.9042,100.324,8.18195,0,8.18195,12346,35187.3,58615.7,60421.1,87112.8,93620.9,98322,102052
2_fanout_1to191,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,16.4414,16.4465,16.622,17.0542,17.1353,19.4074,19.818,0,44.8861,44.8861,468.458,15778.9,16215.1,16067.4,16428,18137.3,19735.5,19815
3_full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,90.3445,91.844,92.6299,93.003,94.2496,95.8491,97.3206,8.05457,8.05457,16.1091,14165.6,46070.7,77479.4,66349.7,86575.6,91860.9,94553.1,97291.8
4_gather_scatter,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,122.177,125.34,126.329,126.616,127.456,131.7,133.788,5.90596,5.90596,11.8119,101457,118561,120512,121675,125482,127804,133572,133772
5_immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,98.4581,116.232,131.579,126.841,135.547,141.516,141.544,5.67033,5.67033,11.3407,13471.3,57045.2,94549.6,86817.7,115940,134970,140824,141515
6_serialized_ref,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,227.22,245.973,273.065,273.678,299.78,309.283,310.169,2.73229,2.73229,5.46459,1267.65,74635.3,164065,152499,223897,278650,298849,310150
7_credits_cap1,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,227.676,243.68,278.143,274.18,306.187,310.306,310.993,2.68241,2.68241,5.36481,906.954,1065.48,1145.85,1428.39,1768.77,2458.44,2548.04,3522.77
7_credits_cap2,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,227.433,248.844,269.944,274.069,295.617,305.817,327.097,2.76388,2.76388,5.52776,1268.97,2118.55,2288.62,2856.86,3613.58,4840.67,5070.82,7951.27
7_credits_cap4,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,227.099,247.438,275.691,271.36,301.326,307.476,308.588,2.70627,2.70627,5.41253,1277.31,4201.07,4575.9,5641.52,7018.42,9734.86,10002.9,10417.3
7_credits_cap8,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0",191,4194304,20,227.262,245.34,269.964,272.832,302.65,307.124,307.964,2.76367,2.76367,5.52735,1284.03,8419.99,9004.03,11260.9,14158.7,19365.7,19897.2,20086.2
