pattern,target_rank,target_host,worker_rank,worker_host,worker_cpu,worker_affinity,worker_ip,locality_tier,iface,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",1,"n23m0123.hpc.itc.rwth-aachen.de",1,"1","134.61.45.208","same_numa","ib0",4194304,20,201773,207811,209960,210228,213607,215962,218895
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",2,"n23m0123.hpc.itc.rwth-aachen.de",2,"2","134.61.45.208","same_numa","ib0",4194304,20,201100,207122,209284,209537,212916,215203,218224
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",3,"n23m0123.hpc.itc.rwth-aachen.de",3,"3","134.61.45.208","same_numa","ib0",4194304,20,200434,206445,208587,208850,212255,214465,217572
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",4,"n23m0123.hpc.itc.rwth-aachen.de",4,"4","134.61.45.208","same_numa","ib0",4194304,20,186392,191389,193298,195517,197659,209370,211537
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",5,"n23m0123.hpc.itc.rwth-aachen.de",5,"5","134.61.45.208","same_numa","ib0",4194304,20,149389,156266,160065,160843,162211,175215,187765
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",6,"n23m0123.hpc.itc.rwth-aachen.de",6,"6","134.61.45.208","same_numa","ib0",4194304,20,5403.73,5808.74,5954.09,54573.9,159244,172853,180306
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",7,"n23m0123.hpc.itc.rwth-aachen.de",7,"7","134.61.45.208","same_numa","ib0",4194304,20,5734.77,6405.27,6594.05,20795.3,6706.63,141972,157314
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",8,"n23m0123.hpc.itc.rwth-aachen.de",8,"8","134.61.45.208","same_numa","ib0",4194304,20,6447.81,7125.95,7294.88,22592.5,7548.07,158926,162539
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",9,"n23m0123.hpc.itc.rwth-aachen.de",9,"9","134.61.45.208","same_numa","ib0",4194304,20,7090.32,7734.58,7959.06,23015.2,8156.55,158239,159932
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",10,"n23m0123.hpc.itc.rwth-aachen.de",10,"10","134.61.45.208","same_numa","ib0",4194304,20,7753.84,8400.84,8609.91,16115.6,8745.07,17080.3,159393
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",11,"n23m0123.hpc.itc.rwth-aachen.de",11,"11","134.61.45.208","same_numa","ib0",4194304,20,8413.14,9069.85,9271.74,32536.1,9513.56,166982,173977
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",12,"n23m0123.hpc.itc.rwth-aachen.de",12,"12","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,9093.71,9723.64,9947.45,17876.2,10085.5,19088.2,168655
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",13,"n23m0123.hpc.itc.rwth-aachen.de",13,"13","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,9729.09,10441.2,10685.8,17896.5,10770.5,19192.1,155128
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",14,"n23m0123.hpc.itc.rwth-aachen.de",14,"14","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,10406.1,11045.9,11316.2,19308.7,11405.9,20092.3,172707
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",15,"n23m0123.hpc.itc.rwth-aachen.de",15,"15","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,11110.9,11718.1,12008.1,12022.3,12090.2,12869.3,13731.1
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",16,"n23m0123.hpc.itc.rwth-aachen.de",16,"16","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,11816.6,12377.8,12751.2,28957.3,13059.3,171924,178277
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",17,"n23m0123.hpc.itc.rwth-aachen.de",17,"17","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,12488.6,13056.6,13424.2,20668.1,13534.1,22590,158928
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",18,"n23m0123.hpc.itc.rwth-aachen.de",18,"18","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,13189.1,13728.4,14101,21421.1,14321.3,23386.1,159621
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",19,"n23m0123.hpc.itc.rwth-aachen.de",19,"19","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,13867,14419,14841.3,36651.9,15752.5,162234,164628
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",20,"n23m0123.hpc.itc.rwth-aachen.de",20,"20","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,14576.7,15220.6,15541.6,22627.4,15731,24762.7,155950
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",21,"n23m0123.hpc.itc.rwth-aachen.de",21,"21","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,15255.7,15903,16253.6,24127.2,16411.3,25589,175109
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",22,"n23m0123.hpc.itc.rwth-aachen.de",22,"22","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,15933.6,16584.3,16960,46743,18878.1,167838,168699
