pattern,target_rank,target_host,worker_rank,worker_host,worker_cpu,worker_affinity,worker_ip,locality_tier,iface,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",1,"n23m0223.hpc.itc.rwth-aachen.de",1,"1","134.61.46.53","same_numa","ib0",4194304,20,201204,203680,205473,206601,209421,213524,216090
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",2,"n23m0223.hpc.itc.rwth-aachen.de",2,"2","134.61.46.53","same_numa","ib0",4194304,20,200120,203037,204805,205843,208717,212811,215471
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",3,"n23m0223.hpc.itc.rwth-aachen.de",3,"3","134.61.46.53","same_numa","ib0",4194304,20,199936,202414,204151,205294,208064,212134,214827
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",4,"n23m0223.hpc.itc.rwth-aachen.de",4,"4","134.61.46.53","same_numa","ib0",4194304,20,185081,186592,187518,190821,192168,204265,207120
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",5,"n23m0223.hpc.itc.rwth-aachen.de",5,"5","134.61.46.53","same_numa","ib0",4194304,20,145427,146723,149553,151511,151617,162039,184589
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",6,"n23m0223.hpc.itc.rwth-aachen.de",6,"6","134.61.46.53","same_numa","ib0",4194304,20,2869.47,5400.64,5769.32,26220.3,5870.9,141596,151284
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",7,"n23m0223.hpc.itc.rwth-aachen.de",7,"7","134.61.46.53","same_numa","ib0",4194304,20,5430.1,6035.73,6353.4,27812.5,6634.12,145535,162149
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",8,"n23m0223.hpc.itc.rwth-aachen.de",8,"8","134.61.46.53","same_numa","ib0",4194304,20,5499.08,6720.74,6995.04,14005.6,7246.79,14700.3,149492
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",9,"n23m0223.hpc.itc.rwth-aachen.de",9,"9","134.61.46.53","same_numa","ib0",4194304,20,6682.62,7341.28,7551.2,15130.6,7891.58,15856.9,159235
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",10,"n23m0223.hpc.itc.rwth-aachen.de",10,"10","134.61.46.53","same_numa","ib0",4194304,20,5301,7989.63,8304.68,29558.4,8667.26,149680,158499
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",11,"n23m0223.hpc.itc.rwth-aachen.de",11,"11","134.61.46.53","same_numa","ib0",4194304,20,4234.66,8633.33,8952.74,23681.8,9341.6,158462,158967
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",12,"n23m0223.hpc.itc.rwth-aachen.de",12,"12","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,8636.4,9263.46,9613.95,9572.8,9813.11,10428.7,10454.7
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",13,"n23m0223.hpc.itc.rwth-aachen.de",13,"13","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,8737,9944.69,10349.1,23846.6,10570.3,142100,153027
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",14,"n23m0223.hpc.itc.rwth-aachen.de",14,"14","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,7777.14,10572.1,11033,24307.6,11544.4,145874,146332
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",15,"n23m0223.hpc.itc.rwth-aachen.de",15,"15","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,10397.3,11203.3,11536,11554.6,11843.8,12585.3,12635.5
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",16,"n23m0223.hpc.itc.rwth-aachen.de",16,"16","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,11042.7,11864.8,12172.8,12210.3,12485.2,13311.4,13348.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",17,"n23m0223.hpc.itc.rwth-aachen.de",17,"17","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,11829.7,12568.8,12951.9,41645,14178.8,157275,174369
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",18,"n23m0223.hpc.itc.rwth-aachen.de",18,"18","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,10412.6,13193.8,13505.8,20650.4,13946.7,22017.5,158171
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",19,"n23m0223.hpc.itc.rwth-aachen.de",19,"19","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,13153.8,13914.5,14208.9,20771.6,14743.3,22040.2,143555
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",20,"n23m0223.hpc.itc.rwth-aachen.de",20,"20","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,13680.8,14533.5,14950.4,28227.9,15648,139384,156817
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",21,"n23m0223.hpc.itc.rwth-aachen.de",21,"21","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,14212.8,15138.2,15604.5,42255.4,16760.9,152562,153011
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",22,"n23m0223.hpc.itc.rwth-aachen.de",22,"22","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,13004.4,15852.2,16175.1,29028.4,17023.5,143183,146642
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",23,"n23m0223.hpc.itc.rwth-aachen.de",23,"23","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,15636.7,16501.3,16805.4,16962.6,17318.9,18611.6,18621.2
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",24,"n23m0223.hpc.itc.rwth-aachen.de",24,"24","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,16324.1,17175.5,17692,30358,18415,140173,149344
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",25,"n23m0223.hpc.itc.rwth-aachen.de",25,"25","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,16986.9,17919.5,18367.8,44150.4,20108,151450,156748
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",26,"n23m0223.hpc.itc.rwth-aachen.de",26,"26","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,15636.9,18568.8,18941.5,18936,19289.6,20839.8,20856.1
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",27,"n23m0223.hpc.itc.rwth-aachen.de",27,"27","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,18263.5,19358.1,19671.9,26010.4,20190.2,27792,144598
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",28,"n23m0223.hpc.itc.rwth-aachen.de",28,"28","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,18952.5,20007,20388.1,33383.8,21292.3,144935,154990
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",29,"n23m0223.hpc.itc.rwth-aachen.de",29,"29","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,19616.5,20539.5,20928.1,33969.5,21965.7,141104,160727
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",30,"n23m0223.hpc.itc.rwth-aachen.de",30,"30","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,20604.8,21422.2,21725.4,27726.7,22230.8,29755.6,138652
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",31,"n23m0223.hpc.itc.rwth-aachen.de",31,"31","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,21179.1,21986.5,22324.8,36365.3,22905,150464,174262
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",32,"n23m0223.hpc.itc.rwth-aachen.de",32,"32","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,21922,22742.2,23055.6,36195.7,24041.6,150526,155058
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",33,"n23m0223.hpc.itc.rwth-aachen.de",33,"33","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,19891.1,23300.3,23569.9,30002.6,24148.9,32503,149951
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",34,"n23m0223.hpc.itc.rwth-aachen.de",34,"34","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,23298.6,24170.9,24609.8,49949.1,26990.3,153489,160969
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",35,"n23m0223.hpc.itc.rwth-aachen.de",35,"35","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,24112.2,24708.6,25075.9,44233.1,26870.2,152096,158967
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",36,"n23m0223.hpc.itc.rwth-aachen.de",36,"36","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,24606.2,25424.3,25681,38768.4,26416.8,151399,157741
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",37,"n23m0223.hpc.itc.rwth-aachen.de",37,"37","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,25224,25964.1,26349.9,32709.9,27008.3,35359.1,148545
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",38,"n23m0223.hpc.itc.rwth-aachen.de",38,"38","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,23642,26750,27036.6,33412.7,27480.8,36328.3,153145
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",39,"n23m0223.hpc.itc.rwth-aachen.de",39,"39","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,26711.7,27561.1,27819.5,41786.9,28441.5,157320,174199
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",40,"n23m0223.hpc.itc.rwth-aachen.de",40,"40","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,27412.3,28193,28485.4,48144.3,29904.9,154732,172713
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",41,"n23m0223.hpc.itc.rwth-aachen.de",41,"41","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,28166,28986.4,29277.7,41764.8,30655.9,143039,160403
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",42,"n23m0223.hpc.itc.rwth-aachen.de",42,"42","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,26445,29710.4,30005.3,36199.7,30567,39216.9,150225
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",43,"n23m0223.hpc.itc.rwth-aachen.de",43,"43","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,29514,30374.4,30861.3,43430.8,32132.7,152949,156937
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",44,"n23m0223.hpc.itc.rwth-aachen.de",44,"44","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,30218.1,30979.6,31397.4,31738.3,31797.2,34964,34989.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",45,"n23m0223.hpc.itc.rwth-aachen.de",45,"45","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,30934.3,31680.5,32213.3,43449.6,33615.2,140429,144317
