pattern,target_rank,target_host,target_cpu,target_affinity,target_ip,iface,workers_count,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_min_us,worker_lat_p25_us,worker_lat_median_us,worker_lat_mean_us,worker_lat_p75_us,worker_lat_p95_us,worker_lat_p99_us,worker_lat_max_us
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0","134.61.45.208","ib0",191,4194304,20,206.439,209.806,215.123,227.25,224.542,303.509,303.728,3.46822,3.46822,6.93643,5403.73,47021.8,150044,123471,201100,211094,215258,303345
2_fanout_1to191,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0","134.61.45.208","ib0",191,4194304,20,116.758,119.455,120.404,136.527,121.755,248.484,320.582,6.19657,6.19657,12.3931,3157.77,33551.6,75022.2,66850.3,97110.3,114507,119899,320317
3_full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0","134.61.45.208","ib0",191,4194304,20,309.837,312.454,313.196,314.838,314.631,327.317,334.559,2.3822,2.3822,4.76439,155151,223224,266268,259183,291299,309955,320949,498951
4_gather_scatter,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0","134.61.45.208","ib0",191,4194304,20,302.626,304.372,305.298,306.15,306.875,309.508,319.269,2.44382,2.44382,4.88764,192901,222608,262860,255755,286014,302207,306737,317518
5_immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0","134.61.45.208","ib0",191,4194304,20,312.285,317.008,321.424,320.993,323.6,328.254,333.902,2.32122,2.32122,4.64243,5845.99,84619.1,244888,197962,294501,316144,322641,332621
6_serialized_ref,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0","134.61.45.208","ib0",191,4194304,20,298.96,301.289,303.051,302.883,304.141,306.095,307.187,2.46194,2.46194,4.92388,190735,216841,260821,252231,283187,299731,303644,307664
1_incast_191to1,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0","134.61.44.214","ib0",191,4194304,20,202.864,205.012,206.331,216.673,208.302,231.486,390.85,3.616,3.616,7.232,21757.4,59949.1,149982,127721,195510,202072,208010,389985
2_fanout_1to191,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0","134.61.44.214","ib0",191,4194304,20,113.032,113.966,114.514,114.573,114.963,116.171,116.906,6.51528,6.51528,13.0306,3872.59,24129.7,43165,50457.4,75803.6,107717,113097,116019
3_full_duplex,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0","134.61.44.214","ib0",191,4194304,20,300.162,300.981,301.959,302.698,303.415,306.221,312.362,2.47084,2.47084,4.94168,188463,210408,231171,239006,267329,297114,302313,312331
4_gather_scatter,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0","134.61.44.214","ib0",191,4194304,20,294.858,296.577,297.967,298.208,298.681,300.517,311.531,2.50395,2.50395,5.00789,190402,210959,231082,238816,267183,294414,299063,311269
5_immediate_response,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0","134.61.44.214","ib0",191,4194304,20,308.078,312.974,313.954,314.542,315.078,318.837,329.337,2.37644,2.37644,4.75288,20493.9,91108.2,240640,195583,285862,307216,314178,527797
6_serialized_ref,96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0","134.61.44.214","ib0",191,4194304,20,287.07,288.764,289.76,289.842,290.424,292.891,293.861,2.57487,2.57487,5.14974,188671,208127,224699,229775,246839,280850,288471,293860
