pattern,target_rank,target_host,target_cpu,target_affinity,target_ip,iface,workers_count,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_min_us,worker_lat_p25_us,worker_lat_median_us,worker_lat_mean_us,worker_lat_p75_us,worker_lat_p95_us,worker_lat_p99_us,worker_lat_max_us
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0","134.61.46.53","ib0",191,4194304,20,202.12,204.864,206.905,208.609,211.332,217.688,225.027,3.60598,0,3.60598,2869.47,45715.3,145613,121588,197151,207084,211894,222802
2_fanout_1to191,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0","134.61.46.53","ib0",191,4194304,20,115.662,117.165,117.583,118.075,118.899,120.801,121.015,0,6.34526,6.34526,3046.09,32554.6,74273.2,65129.6,94518.5,111595,116428,120138
3_full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0","134.61.46.53","ib0",191,4194304,20,306.999,308.45,309.37,310.35,310.654,312.703,327.578,2.41166,2.41166,4.82332,193805,222372,264688,257167,288366,305535,310868,325664
4_gather_scatter,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0","134.61.46.53","ib0",191,4194304,20,301.464,302.886,303.683,305.98,304.471,315.326,342.47,2.45682,2.45682,4.91364,192348,224453,263881,256771,286788,301583,328677,341648
5_immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0","134.61.46.53","ib0",191,4194304,20,307.898,312.252,315.684,316.044,316.977,325.794,335.433,2.36342,2.36342,4.72683,5234.46,79425.7,245702,194321,289499,311074,322690,458765
6_serialized_ref,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"0","134.61.46.53","ib0",191,4194304,20,294.018,297.573,300.715,300.405,302.891,305.569,307.438,2.48106,2.48106,4.96213,186966,216702,259366,251134,281234,297788,303270,308921
1_incast_191to1,96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0","134.61.46.66","ib0",191,4194304,20,205.267,208.974,209.984,216.708,220.555,242.361,274.25,3.5531,0,3.5531,13919,62344.1,149528,130634,200145,208690,214505,273569
2_fanout_1to191,96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0","134.61.46.66","ib0",191,4194304,20,112.543,114.898,115.274,115.364,115.992,117.085,118.739,0,6.47235,6.47235,4091.98,24747.2,43794.6,51106.8,77003.2,108709,113988,117732
3_full_duplex,96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0","134.61.46.66","ib0",191,4194304,20,303.579,305.648,307.032,307.826,307.868,313.739,319.479,2.43002,2.43002,4.86004,182965,216339,236924,244267,271694,302280,309129,341666
4_gather_scatter,96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0","134.61.46.66","ib0",191,4194304,20,300.756,302.966,304.003,305.879,305.705,321.548,324.451,2.45423,2.45423,4.90847,196322,218382,238706,246465,276271,301685,315356,324567
5_immediate_response,96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0","134.61.46.66","ib0",191,4194304,20,317.518,320.564,322.266,322.43,322.856,325.852,335.45,2.31515,2.31515,4.6303,21533.1,94762.9,244062,200684,293757,315247,322129,335624
6_serialized_ref,96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0","134.61.46.66","ib0",191,4194304,20,290.967,293.699,295.054,294.955,296.86,297.82,297.939,2.52867,2.52867,5.05734,190976,212664,229164,234300,251488,286112,293870,297936
