pattern,target_rank,active_workers,worker_rank,worker_host,is_remote,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
incast,0,1,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,620.497,640.729,651.552,651.587,658.907,664.245,791.491
fanout,0,1,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,607.309,624.869,635.808,635.416,647.007,656.641,677.166
full_duplex,0,1,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,699.694,711.269,718.892,718.193,723.255,731.321,739.851
immediate_response,0,1,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,1209.06,1233.92,1247.54,1251.74,1265.86,1286.58,1329.07
incast,0,2,1,"n23m0123.hpc.itc.rwth-aachen.de",0,4194304,50,332.327,334.242,343.131,343.114,350.462,354.669,356.004
incast,0,2,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,624.303,666.776,678.217,696.185,712.967,790.467,882.177
fanout,0,2,1,"n23m0123.hpc.itc.rwth-aachen.de",0,4194304,50,250.63,260.469,333.046,305.384,342.193,356.712,360.516
fanout,0,2,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,588.963,600.682,610.363,610.049,617.627,630.93,633.234
full_duplex,0,2,1,"n23m0123.hpc.itc.rwth-aachen.de",0,4194304,50,355.165,359.564,368.534,369.788,374.038,382.559,449.637
full_duplex,0,2,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,696.11,714.835,730.21,741.954,743.674,785.753,1277.68
immediate_response,0,2,1,"n23m0123.hpc.itc.rwth-aachen.de",0,4194304,50,654.645,660.568,678.409,672.914,683.801,687.921,694.735
immediate_response,0,2,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,1214.42,1236.83,1245.48,1251.7,1267.37,1289.5,1326.07
incast,0,4,1,"n23m0123.hpc.itc.rwth-aachen.de",0,4194304,50,545.842,593.485,611.55,624.575,617.065,714.788,972.666
incast,0,4,48,"n23m0123.hpc.itc.rwth-aachen.de",0,4194304,50,574.041,684.205,705.172,699.76,713.499,720.5,1073.18
incast,0,4,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,695.331,712.314,725.072,725.658,730.646,737.509,888.821
incast,0,4,144,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,690.183,710.226,716.089,723.866,721.651,741.84,924.302
