pattern,target_rank,active_workers,worker_rank,worker_host,is_remote,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
incast,0,1,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,494.342,503.153,505.339,521.485,507.29,516.916,1317.31
fanout,0,1,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,480.574,493.633,495.325,495.197,498.147,503.923,511.861
full_duplex,0,1,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,533.857,546.206,549.818,552.855,560.154,569.098,601.358
immediate_response,0,1,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,971.886,988.032,990.336,991.109,994.147,1001.46,1011.06
incast,0,2,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,333.28,348.497,349.387,349.252,353.321,355.274,356.19
incast,0,2,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,497.277,539.096,547.298,564.546,582.931,649.548,701.83
fanout,0,2,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,245.158,253.352,302.063,300.651,343.419,352.586,364.871
fanout,0,2,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,471.401,505.936,511.221,505.649,513.733,515.976,519.19
full_duplex,0,2,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,359.875,386.552,390.494,394.036,394.85,406.086,513.338
full_duplex,0,2,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,551.963,567.886,573.279,595.262,583.591,652.969,1024.5
immediate_response,0,2,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,666.424,668.613,672.598,674.819,674.648,691.958,708.884
immediate_response,0,2,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,956.19,960.819,963.688,971.265,968.443,1020.76,1042.92
incast,0,4,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,554.31,602.043,615.218,620.888,623.629,726.405,734.962
incast,0,4,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,624.787,701.61,711.362,708,724.443,734.22,752.108
incast,0,4,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,563.611,607.082,622.327,619.472,634.769,674.05,709.887
incast,0,4,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,609.365,701.464,706.714,712.32,726.049,745.567,800.244
fanout,0,4,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,255.778,266.877,340.745,332.334,371.012,454.09,509.724
fanout,0,4,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,291.458,313.086,420.466,447.529,578.111,644.786,684.425
fanout,0,4,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,461.106,501.16,535.087,524.903,543.198,560.875,585.343
fanout,0,4,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,459.674,501.19,532.361,525.018,545.579,562.152,587.666
full_duplex,0,4,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,450.883,488.635,524.814,523.999,557.993,574.418,641.759
full_duplex,0,4,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,525.328,572.828,623.958,618.95,650.34,714.936,753.832
full_duplex,0,4,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,684.53,719.155,744.717,743.147,766.438,781.311,844.503
full_duplex,0,4,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,699.194,739.406,751.159,756.713,771.008,777.528,1045.88
immediate_response,0,4,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,905.935,1001.74,1009.49,1026.23,1031.59,1119.32,1126.66
immediate_response,0,4,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1106.29,1119.98,1193.41,1286,1508.5,1583.77,1602.5
immediate_response,0,4,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1083.48,1121.63,1143.26,1158.92,1219.32,1240.19,1275.49
immediate_response,0,4,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1027.29,1111.44,1143.86,1141.82,1180.45,1231.18,1247.66
incast,0,8,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1134.79,1216.77,1271.84,1336.07,1407.06,1659.62,1799.23
incast,0,8,24,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1188.8,1515.17,1556.49,1541.41,1635.19,1742.01,1764.79
incast,0,8,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1571.01,1630.12,1665.91,1697.69,1765.56,1857.75,1865.45
incast,0,8,72,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1516.66,1582.09,1640.39,1654.23,1708.97,1803.64,1866.44
incast,0,8,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,744.516,818.65,914.868,923.084,1020.61,1175.07,1380.6
incast,0,8,120,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,803.452,1013.91,1138.86,1126.54,1234.75,1355.65,1425.3
incast,0,8,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,765.283,916.956,1000.78,1011.51,1114.48,1200.78,1417.88
incast,0,8,168,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,738.423,829.884,929.223,933.467,1005.68,1155.95,1289.4
fanout,0,8,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,544.173,705.688,757.066,775.199,830.539,1015.25,1224.05
fanout,0,8,24,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,599.617,740.997,780.628,813.257,872.039,1032.1,1223.72
fanout,0,8,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,527.031,638.449,695.254,720.231,774.291,915.177,1108.98
fanout,0,8,72,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,511.858,649.484,707.411,740.412,822.88,952.587,1112.55
fanout,0,8,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,689.757,693.165,694.57,695.159,697.673,699.979,700.594
fanout,0,8,120,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,690.87,692.787,694.595,695.004,697.408,699.084,700.919
fanout,0,8,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,689.578,692.266,694.5,694.706,697.056,699.07,700.969
fanout,0,8,168,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,689.317,692.51,694.746,695.027,697.462,700.496,702.139
full_duplex,0,8,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1669.92,1962.81,1999.3,2022.48,2097.57,2181.83,2233.24
full_duplex,0,8,24,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1549.32,1628.81,1663.49,1698.55,1766.17,1852.97,2008.14
full_duplex,0,8,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2010.98,2063.39,2090.95,2118.76,2187.26,2268.72,2320.84
full_duplex,0,8,72,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1941.72,2000.01,2031.6,2059.92,2133.11,2202.31,2259.97
full_duplex,0,8,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1519.71,1805,1890.32,1919.78,2046.53,2205.35,2271.36
full_duplex,0,8,120,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1656.98,1849.11,1941.9,1945.76,2048.46,2248.8,2302.41
full_duplex,0,8,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1486.83,1763.98,1886.78,1868.86,1995.78,2093.93,2147.05
full_duplex,0,8,168,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1419.56,1496.29,1561,1582.21,1664.86,1721.99,1767.48
immediate_response,0,8,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1969.74,2000.08,2034.3,2133.93,2120.27,2713.68,2879.62
immediate_response,0,8,24,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1906.08,2304.97,2414.76,2398.2,2537.27,2641.81,2737.15
immediate_response,0,8,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2469.25,2540.89,2630.13,2639.85,2733.33,2859.92,2896.79
immediate_response,0,8,72,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2390.84,2460.25,2555.98,2566.71,2675.87,2795.04,2822.53
immediate_response,0,8,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1489.81,1659.18,1727.2,1748.97,1855.1,1916.87,2036.23
immediate_response,0,8,120,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1590.3,1730.5,1821.23,1816.04,1895.18,2008.32,2040.91
immediate_response,0,8,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1488.73,1643.82,1728.54,1734.37,1815.29,1939.04,2150.46
