pattern,target_rank,target_host,target_cpu,active_workers,local_workers,remote_workers,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_median_us,worker_lat_p95_us,worker_lat_max_us,local_lat_median_us,local_lat_p95_us,remote_lat_median_us,remote_lat_p95_us
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,1,0,1,4194304,50,0.606658,0.626733,0.636839,0.636971,0.645046,0.649281,0.777184,6.13381,0,6.13381,651.552,664.245,791.491,0,0,651.552,664.245
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,1,0,1,4194304,50,0.623027,0.639383,0.65079,0.650219,0.66128,0.672219,0.690304,0,6.00232,6.00232,635.808,656.641,677.166,0,0,635.808,656.641
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,1,0,1,4194304,50,0.709544,0.722951,0.730518,0.730684,0.737415,0.745658,0.75427,5.34723,5.34723,10.6945,718.892,731.321,739.851,0,0,718.892,731.321
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,1,0,1,4194304,50,1.223,1.24796,1.26245,1.26622,1.28013,1.30082,1.34344,3.09418,3.09418,6.18836,1247.54,1286.58,1329.07,0,0,1247.54,1286.58
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,2,1,1,4194304,50,0.60965,0.652466,0.662867,0.681467,0.703627,0.776102,0.868733,11.7859,0,11.7859,490.154,740.85,882.177,343.131,354.669,678.217,790.467
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,2,1,1,4194304,50,0.603539,0.615217,0.62533,0.624749,0.632402,0.646073,0.647559,0,12.4934,12.4934,474.74,626.272,633.234,333.046,356.712,610.363,630.93
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,2,1,1,4194304,50,0.67812,0.72666,0.740129,0.752726,0.754512,0.794981,1.29822,10.5556,10.5556,21.1112,572.874,773.929,1277.68,368.534,382.559,730.21,785.753
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,2,1,1,4194304,50,1.22879,1.25103,1.2606,1.26618,1.28173,1.30379,1.34088,6.19745,6.19745,12.3949,954.578,1280.57,1326.07,678.409,687.921,1245.48,1289.5
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,4,2,2,4194304,50,0.624304,0.709142,0.715044,0.7211,0.720234,0.769634,1.07509,21.8518,0,21.8518,709.765,737.32,1073.18,679.16,719.21,719.385,740.664
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,4,2,2,4194304,50,0.624315,0.664864,0.685453,0.733898,0.795544,0.864244,0.939111,0,22.7951,22.7951,624.087,661.776,722.057,407.168,658.056,643.181,661.776
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,4,2,2,4194304,50,0.823444,0.844191,0.861173,0.897591,0.897719,1.00867,1.40387,18.1439,18.1439,36.2877,774.412,886.275,1381.71,599.349,735.276,820.692,931.922
