pattern,target_rank,target_host,target_cpu,active_workers,local_workers,remote_workers,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_median_us,worker_lat_p95_us,worker_lat_max_us,local_lat_median_us,local_lat_p95_us,remote_lat_median_us,remote_lat_p95_us
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,1,0,1,4194304,50,0.485449,0.493234,0.495699,0.512159,0.497793,0.506677,1.30882,7.88029,0,7.88029,505.339,516.916,1317.31,0,0,505.339,516.916
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,1,0,1,4194304,50,0.490362,0.503305,0.505585,0.507078,0.507964,0.51557,0.607206,0,7.7262,7.7262,495.325,503.923,511.861,0,0,495.325,503.923
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,1,0,1,4194304,50,0.54151,0.553933,0.556924,0.561353,0.569767,0.578173,0.615469,7.01397,7.01397,14.0279,549.818,569.098,601.358,0,0,549.818,569.098
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,1,0,1,4194304,50,0.981345,0.99769,1.00001,1.00088,1.00453,1.01146,1.02155,3.90621,3.90621,7.81242,990.336,1001.46,1011.06,0,0,990.336,1001.46
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,2,1,1,4194304,50,0.487134,0.528923,0.537759,0.554786,0.573357,0.640053,0.697102,14.5279,0,14.5279,426.733,627.633,701.83,349.387,355.274,547.298,649.548
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,2,1,1,4194304,50,0.481175,0.514777,0.5212,0.515758,0.523982,0.52658,0.529492,0,14.9894,14.9894,418.136,515.363,519.19,302.063,352.586,511.221,515.976
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,2,1,1,4194304,50,0.56869,0.57708,0.581812,0.60095,0.591292,0.618412,0.979765,13.4279,13.4279,26.8558,532.65,606.364,1024.5,390.494,406.086,573.279,652.969
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,2,1,1,4194304,50,0.965908,0.970469,0.973333,0.981066,0.978418,1.0313,1.05496,8.02654,8.02654,16.0531,832.537,1011.44,1042.92,672.598,691.958,963.688,1020.76
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,4,2,2,4194304,50,0.621111,0.70487,0.721544,0.714937,0.727625,0.736426,0.776155,21.655,0,21.655,675.513,733.691,800.244,670.371,733.269,675.513,733.759
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,4,2,2,4194304,50,0.472506,0.556065,0.590483,0.656509,0.778576,0.821268,0.882618,0,26.4614,26.4614,498.536,596.54,684.425,359.691,628.479,533.492,561.147
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,4,2,2,4194304,50,0.74548,0.76324,0.778187,0.789396,0.802542,0.852622,0.966368,20.0787,20.0787,40.1575,699.782,774.195,1045.88,559.428,697.861,747.933,778.476
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,4,2,2,4194304,50,1.15394,1.2223,1.24838,1.3346,1.52163,1.59617,1.61461,12.5163,12.5163,25.0325,1129.4,1524.6,1602.5,1108.47,1547.52,1143.69,1238.94
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,8,4,4,4194304,50,1.50663,1.64618,1.68549,1.6961,1.74988,1.8711,1.8775,18.5406,0,18.5406,1220.09,1764.84,1866.44,1601.16,1812.18,984.564,1298.34
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,8,4,4,4194304,50,0.703127,0.774487,0.813783,0.850815,0.895927,1.06358,1.24029,0,38.4009,38.4009,696.301,931.611,1224.05,743.372,994.759,694.575,699.745
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,8,4,4,4194304,50,2.15159,2.19214,2.22613,2.25684,2.3333,2.40753,2.4478,14.0378,14.0378,28.0756,1957.58,2205.83,2320.84,2012.79,2221.91,1842.87,2191.32
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,8,4,4,4194304,50,2.48189,2.55443,2.6436,2.65319,2.7457,2.87399,2.90999,11.821,11.821,23.642,1988.4,2737.54,2896.79,2494.55,2805.81,1730.32,1967.13
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,12,6,6,4194304,50,3.1582,3.38337,3.51642,3.47525,3.55285,3.70898,3.8978,13.3303,0,13.3303,2262.16,3522.94,3886.61,3271.44,3576.8,1771.12,2112.47
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,12,6,6,4194304,50,1.14831,1.45662,1.51745,1.50593,1.57257,1.63501,1.71678,0,30.8907,30.8907,1033.65,1508.24,1715.05,1301.42,1555.36,1031,1033.15
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,12,6,6,4194304,50,3.65975,3.81042,3.92475,3.9413,4.04619,4.1397,4.61742,11.9434,11.9434,23.8869,3207.16,3851.3,4455.89,3527.43,3927.02,2912.67,3497.28
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,12,6,6,4194304,50,3.9893,4.1136,4.25106,4.24642,4.35536,4.54026,4.84111,11.0267,11.0267,22.0533,2996.93,4302.88,4827.65,3965.53,4408.02,2567.04,2893.14
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,16,8,8,4194304,50,4.77229,5.19531,5.32686,5.24472,5.41058,5.47203,5.54169,11.733,0,11.733,3257.83,5325.39,5528.22,4982.9,5386.62,2495.6,2961.63
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,16,8,8,4194304,50,1.6623,2.01497,2.26381,2.29236,2.52382,2.84772,3.13623,0,27.6083,27.6083,1388.74,2379.08,3040.22,1956.38,2499.11,1378.93,1387.18
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,16,8,8,4194304,50,5.26911,5.57741,5.67881,5.66787,5.75784,5.82461,5.85504,11.0058,11.0058,22.0117,4572.55,5495.75,5696.56,5215.9,5557.71,4003.96,4744.88
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,16,8,8,4194304,50,5.61894,6.07676,6.3064,6.27978,6.49133,6.65657,6.72662,9.91057,9.91057,19.8211,4017.43,6468.14,6706.08,5906.6,6549.85,3347,3775.65
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,24,12,12,4194304,50,7.86677,8.32953,8.48367,8.46771,8.6119,8.80143,9.26834,11.0506,0,11.0506,5581.51,8494.22,9255.17,7982.02,8600.88,3164.22,5547.81
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,24,12,12,4194304,50,2.69875,3.03455,3.29451,3.2795,3.44778,3.76037,3.88514,0,28.4564,28.4564,2075.47,3386.96,3883.34,2967.23,3515.32,2059.06,2072.9
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,24,12,12,4194304,50,8.46353,9.046,9.13907,9.12113,9.21253,9.3586,9.65506,10.2582,10.2582,20.5163,7748.63,8889.28,9419.59,8565.07,8963.29,4911.5,8026.98
