pattern,target_rank,active_workers,worker_rank,worker_host,is_remote,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
incast,0,1,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,1388.08,1409.53,1424.05,1439.39,1444.82,1500.74,1831.18
fanout,0,1,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,1362.47,1547.92,1709.92,1750,1912.89,2185.27,2425.86
full_duplex,0,1,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,1901.45,2118.46,2220.12,2248.71,2359.44,2531.37,2997.77
immediate_response,0,1,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,2791.4,3184.32,3378.6,3453.85,3681.42,4083.92,4362.23
incast,0,2,1,"n23m0123.hpc.itc.rwth-aachen.de",0,4194304,50,483.454,617.392,695.169,687.682,745.966,775.829,1189.85
incast,0,2,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,1810.5,1999.72,2114.79,2167.62,2272.97,2716.48,2780.76
fanout,0,2,1,"n23m0123.hpc.itc.rwth-aachen.de",0,4194304,50,375.575,979.293,998.625,993.154,1024.54,1062.57,1104.79
fanout,0,2,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,1366.25,1597.59,1918.86,1850.78,2015.44,2295.76,2565.3
full_duplex,0,2,1,"n23m0123.hpc.itc.rwth-aachen.de",0,4194304,50,1339.68,2514.78,2955.09,2681.17,3058.26,3086.53,3109.42
full_duplex,0,2,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,2580.43,2920.87,3109.5,3311.78,3581.49,4362.93,4771.68
immediate_response,0,2,1,"n23m0123.hpc.itc.rwth-aachen.de",0,4194304,50,1135.44,1203.09,1234.46,1247.68,1285.36,1310.85,1856.77
immediate_response,0,2,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,3876.2,4010.95,4100.36,4165.73,4264.87,4595.38,5076.29
incast,0,4,1,"n23m0123.hpc.itc.rwth-aachen.de",0,4194304,50,2749.56,2949.98,3241.14,3309.28,3771.28,3919.71,4006.11
incast,0,4,48,"n23m0123.hpc.itc.rwth-aachen.de",0,4194304,50,1724.4,2311.26,2542.02,2707.85,3197.89,3467.12,3511.03
incast,0,4,96,"r23m0124.hpc.itc.rwth-aachen.de",1,4194304,50,1488.11,2809.64,3928.06,3489.18,4088.94,4275.34,4331.22
