pattern,target_rank,active_workers,worker_rank,worker_host,is_remote,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
incast,0,1,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1377.23,1405.05,1418.71,1430.76,1437.79,1536.11,1619.14
fanout,0,1,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1001.26,1216,1638.59,1518.07,1755.93,1869.34,1895.95
full_duplex,0,1,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1890.79,2117.56,2227.85,2235.91,2348.86,2536.71,2620.1
immediate_response,0,1,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2482.42,2558.21,2822.14,2967.39,3300.01,3687.15,4209.76
incast,0,2,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,499.474,512.096,631.419,668.473,736.974,788.122,1918.43
incast,0,2,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1411.5,1984.08,2019.16,1989.47,2046.22,2091.93,2210.71
fanout,0,2,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,416.773,1031.97,1070.02,1109.78,1139.55,1594.26,2441
fanout,0,2,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,958.205,1130.66,1184.8,1246.11,1252.8,1952,2185.26
full_duplex,0,2,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1289.99,3002.55,3112.29,2872.18,3205.15,3296.11,3364.36
full_duplex,0,2,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2369.78,2631.51,2923.09,3071.33,3402.07,4289.38,4659.1
immediate_response,0,2,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1169.64,1282.54,1331.8,1488.81,1439.45,2848.81,3223.83
immediate_response,0,2,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2608.24,3611.24,3713.41,3688.32,3831.31,4164.73,4329.05
incast,0,4,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1967.9,3055.42,3217.27,3169.01,3427.62,3633.58,3659.97
incast,0,4,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1137.9,1210.47,2019.01,1986.72,2574.83,3068.74,3096.25
incast,0,4,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1504.58,1790.85,2739.71,2613.89,3187.67,3625.58,3715.6
incast,0,4,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,985.181,3484.15,3590.64,3420.58,3677.44,3793.33,3857.41
fanout,0,4,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2467.07,2535.08,2586.27,2630.51,2653.2,2785.51,4327.64
fanout,0,4,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1819.66,1927.87,1952.82,1977.53,2011.49,2121.38,2339.55
fanout,0,4,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1870.37,1942.21,2084.62,2134.32,2237.52,2560.55,3233.08
fanout,0,4,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,916.283,986.379,1065.21,1107.16,1173.43,1412.22,1433.58
full_duplex,0,4,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,6953.75,7260.71,7402.24,7376.85,7528.43,7646.6,7771.77
full_duplex,0,4,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,5405.74,6428.56,6622.35,6574.46,6799.18,6950.14,7025.05
full_duplex,0,4,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,5749.32,6161.89,6350.88,6623.03,6922.43,8074.33,8103.53
