pattern,target_rank,target_host,target_cpu,target_ip,iface,active_workers,local_workers,remote_workers,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_median_us,worker_lat_p95_us,worker_lat_max_us,local_lat_median_us,local_lat_p95_us,remote_lat_median_us,remote_lat_p95_us
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",1,0,1,4194304,50,1.36193,1.38651,1.40604,1.42033,1.42457,1.4971,1.81638,2.77818,0,2.77818,1424.05,1500.74,1831.18,0,0,1424.05,1500.74
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",1,0,1,4194304,50,1.42292,1.64826,1.80324,1.83086,1.98353,2.27703,2.53191,0,2.16624,2.16624,1709.92,2185.27,2425.86,0,0,1709.92,2185.27
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",1,0,1,4194304,50,1.87542,2.11442,2.23074,2.29412,2.43132,2.75533,2.91545,1.7511,1.7511,3.50219,2220.12,2531.37,2997.77,0,0,2220.12,2531.37
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",1,0,1,4194304,50,1.73244,1.80311,2.16503,2.10543,2.32393,2.51508,2.95358,1.80425,1.80425,3.6085,3378.6,4083.92,4362.23,0,0,3378.6,4083.92
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",2,1,1,4194304,50,1.77682,1.92307,2.06372,2.10488,2.21536,2.63099,2.69866,3.78565,0,3.78565,1500.18,2482.48,2780.76,695.169,775.829,2114.79,2716.48
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",2,1,1,4194304,50,1.43041,1.66544,2.00349,1.93177,2.09274,2.40133,2.6667,0,3.89945,3.89945,1235.52,2197.79,2565.3,998.625,1062.57,1918.86,2295.76
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",2,1,1,4194304,50,2.81318,2.9606,3.0122,3.0091,3.06724,3.1147,3.23904,2.59362,2.59362,5.18723,3030.83,4067.39,4771.68,2955.09,3086.53,3109.5,4362.93
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",2,1,1,4194304,50,2.86981,3.01811,3.0714,3.13411,3.31787,3.38086,3.42971,2.54363,2.54363,5.08726,2866.49,4355.42,5076.29,1234.46,1310.85,4100.36,4595.38
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",4,2,2,4194304,50,3.68038,3.88376,3.93807,3.96441,4.05589,4.19712,4.2365,3.96768,0,3.96768,2933.1,4115.86,4331.22,2970.63,3881.01,2716.22,4174.4
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",4,2,2,4194304,50,2.51561,2.66763,2.72705,2.73983,2.79667,3.00407,3.10543,0,5.72965,5.72965,2026.73,2777.46,3007.68,2279.28,2748.95,1835.01,2801.39
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",4,2,2,4194304,50,7.49846,8.0247,8.07308,8.05066,8.13556,8.31605,8.36134,1.93544,1.93544,3.87089,7372.84,8352.08,9809.3,7555.07,8237.22,6946.53,8544.9
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",4,2,2,4194304,50,7.67344,7.99703,9.10704,8.90298,9.71794,9.98109,10.2831,1.71571,1.71571,3.43141,7165.89,10845.8,11448.5,6821.37,9144.37,8204.78,10956.5
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",8,4,4,4194304,50,7.79512,8.45874,11.5522,10.4668,12.0726,12.3535,12.4352,2.70512,0,2.70512,7865.36,11916.7,12425.7,8463.44,12076,7369.44,11675.9
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",8,4,4,4194304,50,5.65296,5.82245,5.86026,5.87466,5.932,6.06496,6.11873,0,5.33253,5.33253,4056.26,5858.42,6104.57,4838.29,5939.55,3240.29,5052.15
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",8,4,4,4194304,50,15.0948,16.5611,17.3323,17.6046,19.0738,19.2506,19.4597,1.803,1.803,3.60599,15042.1,18725.7,20826.3,16222,19262,13980.2,16674.9
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",8,4,4,4194304,50,15.4773,15.871,16.062,16.8957,18.0935,19.0501,19.6837,1.94559,1.94559,3.89118,13213.2,18164.9,19940.4,14460.3,18337.6,11794.4,17537.4
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",12,6,6,4194304,50,11.3232,13.3442,16.8018,16.2477,19.2712,19.4707,19.7284,2.78988,0,2.78988,12622.1,18634.7,19731.4,11866.9,19214.3,13276.9,18018.4
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",12,6,6,4194304,50,7.31095,7.41746,7.77026,7.81725,7.99901,8.5885,8.94391,0,6.03262,6.03262,4892.16,7758.77,8930.69,6247.43,7979.13,4118.96,5855.16
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",12,6,6,4194304,50,23.6275,24.4944,24.6465,24.5983,24.7734,25.0105,25.1435,1.90189,1.90189,3.80379,20870.8,24623.3,25149,22511.9,24774.4,19938.7,22570.3
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",12,6,6,4194304,50,23.0161,23.3204,23.4807,23.4685,23.5704,23.7746,23.9498,1.99632,1.99632,3.99264,18931.8,23477.1,24070,20498.5,23633,18519.2,21446.2
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",16,8,8,4194304,50,16.0999,18.3415,20.0104,21.2468,25.1005,26.0501,26.4047,3.12337,0,3.12337,16394.2,24440.1,26397.4,14193.2,24625.9,17698.5,24025.4
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",16,8,8,4194304,50,10.3258,10.5041,10.5895,10.7368,10.7865,11.3625,13.7794,0,5.90205,5.90205,7583.18,10491.5,13763.6,8462.22,10676,6841.76,8922.04
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",16,8,8,4194304,50,27.3297,28.8635,31.9204,33.83,39.2472,43.7979,45.0536,1.95799,1.95799,3.91599,27636.7,40096,45131,27707.7,41365.9,27479.5,38362.7
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",16,8,8,4194304,50,25.9655,27.914,32.2776,34.0117,41.1796,43.9121,45.3052,1.93633,1.93633,3.87266,25155.5,40269.7,45419.3,21937.7,40968.5,26171.7,39917.1
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",24,12,12,4194304,50,23.563,25.161,27.588,29.4035,33.346,37.6124,41.8754,3.39822,0,3.39822,22535,35519.9,180995,9714.72,33723,24124.4,35832.1
