pattern,target_rank,target_host,target_cpu,target_ip,iface,active_workers,local_workers,remote_workers,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_median_us,worker_lat_p95_us,worker_lat_max_us,local_lat_median_us,local_lat_p95_us,remote_lat_median_us,remote_lat_p95_us
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",1,0,1,4194304,50,1.35395,1.38545,1.40048,1.40943,1.41292,1.4854,1.59272,2.78922,0,2.78922,1418.71,1536.11,1619.14,0,0,1418.71,1536.11
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",1,0,1,4194304,50,1.05202,1.30233,1.74346,1.59665,1.85021,1.93739,1.99933,0,2.24052,2.24052,1638.59,1869.34,1895.95,0,0,1638.59,1869.34
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",1,0,1,4194304,50,1.87304,2.03231,2.10666,2.11881,2.17869,2.3241,2.43198,1.85424,1.85424,3.70848,2227.85,2536.71,2620.1,0,0,2227.85,2536.71
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",1,0,1,4194304,50,1.78305,1.91237,2.0149,2.13193,2.35445,2.5997,3.05733,1.93868,1.93868,3.87735,2822.14,3687.15,4209.76,0,0,2822.14,3687.15
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",2,1,1,4194304,50,1.78263,1.95846,1.99393,1.99093,2.01984,2.07681,2.18419,3.91814,0,3.91814,1607.39,2066.3,2210.71,631.419,788.122,2019.16,2091.93
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",2,1,1,4194304,50,1.076,1.19536,1.24998,1.31998,1.32392,2.04832,2.23011,0,6.25008,6.25008,1135.99,1943.42,2441,1070.02,1594.26,1184.8,1952
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",2,1,1,4194304,50,2.91412,3.10322,3.17977,3.17204,3.22872,3.31645,3.36388,2.45694,2.45694,4.91387,3087.94,3760.33,4659.1,3112.29,3296.11,2923.09,4289.38
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",2,1,1,4194304,50,2.90048,3.029,3.08052,3.12873,3.17448,3.52781,3.77636,2.5361,2.5361,5.0722,2933.36,3935.47,4329.05,1331.8,2848.81,3713.41,4164.73
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",4,2,2,4194304,50,3.44714,3.5447,3.62705,3.62345,3.68818,3.79387,3.85573,4.30791,0,4.30791,3061.46,3713.59,3857.41,2802,3626.78,3360.62,3746.04
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",4,2,2,4194304,50,2.4996,2.56625,2.61936,2.67404,2.69356,2.84717,4.34623,0,5.9652,5.9652,1972.36,2684.32,4327.64,2403.31,2738.05,1651.97,2394.52
