rank,hostname,cpu_id,cpu_affinity,cpu_numa_node,gpu_id,gpu_pci_bus_id,gpu_pci_numa_node,status,payload_bytes,payload_type,direction,iters,host_buf_numa_node,variant,page_policy,reg_mode,src_pages,dst_pages,dst_pages_after,lat_min_us,lat_p25_us,lat_median_us,lat_p75_us,lat_iqr_us,lat_max_us,lat_mean_us,lat_stddev_us,bw_gibs_min,bw_gibs_p25,bw_gibs_median,bw_gibs_p75,bw_gibs_iqr,bw_gibs_max,bw_gibs_mean,bw_gibs_stddev,bw_gbps_median,gpu_dma_time_median_us
0,"n23g0009.hpc.itc.rwth-aachen.de",0,"0,1,2,3,4,5,6,7,8,9,10,11",0,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,0,"fwd-n0-auto",-1,0,"0:1","0:1","0:1",10.236,10.7645,10.9855,11.139,0.3745,19.687,11.1981,1.30882,0.193767,0.342464,0.347249,0.354378,0.0119137,0.372675,0.343596,0.0257175,0.372855,5.28
0,"n23g0009.hpc.itc.rwth-aachen.de",0,"0,1,2,3,4,5,6,7,8,9,10,11",0,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,0,"fwd-n0-auto",-1,0,"0:1","0:1","0:1",10.061,10.4503,10.594,10.7622,0.312,14.28,10.7044,0.59777,0.267136,0.354452,0.360081,0.365034,0.0105825,0.379157,0.357275,0.01641,0.386634,4.992
0,"n23g0009.hpc.itc.rwth-aachen.de",0,"0,1,2,3,4,5,6,7,8,9,10,11",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,0,"fwd-n0-auto",-1,0,"0:16384","0:16384","0:16384",1217.84,1218.6,1219.49,1219.8,1.204,1221.68,1219.33,0.958735,51.1589,51.2378,51.2508,51.2884,0.050624,51.3205,51.2576,0.0402848,55.0302,1213.46
0,"n23g0009.hpc.itc.rwth-aachen.de",0,"0,1,2,3,4,5,6,7,8,9,10,11",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,0,"fwd-n0-auto",-1,0,"0:16384","0:16384","0:16384",1542.09,1550.75,1553.36,1556.7,5.9565,1562.68,1553.53,4.6177,39.9953,40.1489,40.2353,40.3031,0.154215,40.5294,40.2313,0.119651,43.2023,1546.91
0,"n23g0009.hpc.itc.rwth-aachen.de",0,"0,1,2,3,4,5,6,7,8,9,10,11",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,0,"fwd-n0-auto",-1,0,"0:65536","0:65536","0:65536",4839.32,4840.58,4841.03,4842.13,1.5465,4844.47,4841.31,1.10891,51.6052,51.6302,51.6419,51.6467,0.0164951,51.6601,51.6389,0.0118258,55.4501,4834.78
0,"n23g0009.hpc.itc.rwth-aachen.de",0,"0,1,2,3,4,5,6,7,8,9,10,11",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,0,"fwd-n0-auto",-1,0,"0:65536","0:65536","0:65536",6267.44,6276.16,6280.74,6292.25,16.0908,6305.69,6283.38,9.7097,39.6468,39.7314,39.8042,39.8333,0.101862,39.8887,39.7876,0.0614583,42.7394,6274.14
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,1,"fwd-n1-auto",-1,0,"1:1","1:1","1:1",10.272,10.7345,10.85,11.036,0.3015,13.225,10.9405,0.407496,0.288446,0.345659,0.351585,0.355368,0.00970859,0.371369,0.34911,0.0116475,0.377512,5.184
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,1,"fwd-n1-auto",-1,0,"1:1","1:1","1:1",10.151,10.3752,10.5385,10.6717,0.2965,18.832,11.0085,1.92128,0.202565,0.357459,0.361977,0.367673,0.0102147,0.375795,0.353141,0.0380704,0.38867,4.928
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,1,"fwd-n1-auto",-1,0,"1:16384","1:16384","1:16384",1410.57,1415.17,1416.51,1417.87,2.69675,1420.25,1416.43,2.15665,44.0063,44.0803,44.1225,44.1643,0.0839997,44.3085,44.1251,0.0672291,47.3761,1410.56
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,1,"fwd-n1-auto",-1,0,"1:16384","1:16384","1:16384",1544.43,1550.03,1552.98,1555.76,5.73425,1564.3,1552.98,4.4552,39.954,40.1732,40.2451,40.3219,0.148619,40.4681,40.2456,0.115419,43.2129,1546.72
