rank,hostname,cpu_id,cpu_affinity,cpu_numa_node,gpu_id,gpu_pci_bus_id,gpu_pci_numa_node,status,payload_bytes,payload_type,direction,iters,host_buf_numa_node,variant,page_policy,src_page_policy,dst_page_policy,reg_mode,transfer_mode,src_pages,dst_pages,dst_pages_after,lat_min_us,lat_p25_us,lat_median_us,lat_p75_us,lat_iqr_us,lat_max_us,lat_mean_us,lat_stddev_us,bw_gibs_min,bw_gibs_p25,bw_gibs_median,bw_gibs_p75,bw_gibs_iqr,bw_gibs_max,bw_gibs_mean,bw_gibs_stddev,bw_gbps_median,gpu_dma_time_median_us
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"NOT_RUN (d2h-only)",4096,"latency","H2D",50,0,"gpu0-cpu0-src0-dst0-d2h-only",-1,0,0,0,"d2h-only","0:1","0:1","0:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,0,"gpu0-cpu0-src0-dst0-d2h-only",-1,0,0,0,"d2h-only","0:1","0:1","0:1",10.103,10.435,10.542,10.8923,0.45725,15.049,10.7519,0.714822,0.253485,0.350228,0.361857,0.365568,0.0153395,0.377581,0.356035,0.0188982,0.388541,4.944
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"NOT_RUN (d2h-only)",67108864,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst0-d2h-only",-1,0,0,0,"d2h-only","0:16384","0:16384","0:16384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,0,"gpu0-cpu0-src0-dst0-d2h-only",-1,0,0,0,"d2h-only","0:16384","0:16384","0:16384",1521.84,1529,1531.42,1533.92,4.9275,1544.77,1531.35,4.83729,40.459,40.7452,40.8117,40.8765,0.131309,41.0687,40.8141,0.128794,43.8213,1525.5
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"NOT_RUN (d2h-only)",268435456,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst0-d2h-only",-1,0,0,0,"d2h-only","0:65536","0:65536","0:65536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,0,"gpu0-cpu0-src0-dst0-d2h-only",-1,0,0,0,"d2h-only","0:65536","0:65536","0:65536",6145.54,6155.05,6160.05,6165.27,10.226,6173.53,6159.95,6.79309,40.4954,40.5497,40.5841,40.6171,0.0673694,40.6799,40.5848,0.0447561,43.5768,6153.94
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,0,"gpu0-cpu0-src0-dst0-interleaved",-1,0,0,0,"interleaved","0:1","0:1","0:1",10.335,10.5815,10.8655,11.0135,0.432,13.685,10.867,0.474336,0.27875,0.346366,0.351083,0.360507,0.0141411,0.369105,0.35161,0.0132848,0.376973,5.28
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,0,"gpu0-cpu0-src0-dst0-interleaved",-1,0,0,0,"interleaved","0:1","0:1","0:1",10.193,10.4575,10.668,10.8385,0.381,11.326,10.6617,0.272437,0.336809,0.351958,0.357583,0.364781,0.0128229,0.374247,0.358027,0.00909335,0.383952,5.072
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst0-interleaved",-1,0,0,0,"interleaved","0:16384","0:16384","0:16384",1218.28,1218.53,1219.52,1219.7,1.171,1732.51,1229.65,71.846,36.0749,51.242,51.2497,51.2912,0.0492432,51.302,50.9518,2.12579,55.029,1213.5
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,0,"gpu0-cpu0-src0-dst0-interleaved",-1,0,0,0,"interleaved","0:16384","0:16384","0:16384",1522.85,1530.62,1532.83,1536.53,5.91525,1647.44,1535.38,16.5775,37.9375,40.676,40.7743,40.8332,0.157197,41.0414,40.7109,0.412381,43.7811,1526.9
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst0-interleaved",-1,0,0,0,"interleaved","0:65536","0:65536","0:65536",4840.23,4840.93,4841.53,4843.39,2.45825,4848.12,4842.14,1.72032,51.5663,51.6167,51.6366,51.6429,0.0262108,51.6504,51.6301,0.0183352,55.4443,4835.47
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,0,"gpu0-cpu0-src0-dst0-interleaved",-1,0,0,0,"interleaved","0:65536","0:65536","0:65536",6145.95,6155.67,6160.07,6162.8,7.127,6176.21,6160.18,6.83674,40.4779,40.566,40.5839,40.6129,0.046967,40.6772,40.5833,0.0450205,43.5767,6154.05
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"NOT_RUN (d2h-only)",4096,"latency","H2D",50,0,"gpu0-cpu0-src0-dst1-d2h-only",-1,0,1,0,"d2h-only","0:1","1:1","1:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
