rank,hostname,cpu,affinity,gpu_id,pci_bus_id,status,small_bytes,large_bytes,iters,h2d_lat_min_us,h2d_lat_median_us,h2d_lat_mean_us,d2h_lat_min_us,d2h_lat_median_us,d2h_lat_mean_us,h2d_bw_median_gbps,d2h_bw_median_gbps
0,"n23g0012.hpc.itc.rwth-aachen.de",0,"0",0,0000:1b:00.0,"OK",4096,16777216,20,10.325,11.087,11.0733,10.756,11.2785,11.3191,18.562,15.531
0,"n23g0012.hpc.itc.rwth-aachen.de",0,"0",1,0000:2c:00.0,"OK",4096,16777216,20,11.194,11.668,11.7842,11.45,11.9635,12.6897,12.56,10.8335
0,"n23g0012.hpc.itc.rwth-aachen.de",0,"0",2,0000:9d:00.0,"OK",4096,16777216,20,12.337,12.6895,13.1406,12.013,12.5565,12.5007,19.2693,8.7348
0,"n23g0012.hpc.itc.rwth-aachen.de",0,"0",3,0000:ad:00.0,"OK",4096,16777216,20,11.986,12.6445,12.6788,12.537,12.929,13.3664,19.2197,8.73362
1,"n23g0012.hpc.itc.rwth-aachen.de",1,"1",0,0000:1b:00.0,"OK",4096,16777216,20,10.557,10.9475,11.0061,10.803,11.374,11.3782,18.6275,15.4613
1,"n23g0012.hpc.itc.rwth-aachen.de",1,"1",1,0000:2c:00.0,"OK",4096,16777216,20,10.923,11.7325,12.5538,11.346,11.7535,11.7556,12.5849,10.8427
1,"n23g0012.hpc.itc.rwth-aachen.de",1,"1",2,0000:9d:00.0,"OK",4096,16777216,20,12.024,12.6035,12.6126,12.165,12.6495,12.927,18.4887,9.11691
1,"n23g0012.hpc.itc.rwth-aachen.de",1,"1",3,0000:ad:00.0,"OK",4096,16777216,20,12.272,12.6355,12.6867,12.259,12.7075,12.7121,18.3818,9.60506
2,"n23g0012.hpc.itc.rwth-aachen.de",2,"2",0,0000:1b:00.0,"OK",4096,16777216,20,10.637,10.891,10.9827,11.005,11.3525,11.3315,18.5814,15.4834
2,"n23g0012.hpc.itc.rwth-aachen.de",2,"2",1,0000:2c:00.0,"OK",4096,16777216,20,10.982,11.651,11.662,11.469,11.8155,11.8208,12.581,10.8401
2,"n23g0012.hpc.itc.rwth-aachen.de",2,"2",2,0000:9d:00.0,"OK",4096,16777216,20,11.925,12.5665,12.8031,12.096,12.643,12.6181,18.7537,8.71922
2,"n23g0012.hpc.itc.rwth-aachen.de",2,"2",3,0000:ad:00.0,"OK",4096,16777216,20,12.031,12.4835,12.5595,12.413,12.916,12.9235,18.5109,9.59814
3,"n23g0012.hpc.itc.rwth-aachen.de",3,"3",0,0000:1b:00.0,"OK",4096,16777216,20,10.599,11.0995,11.1198,11.029,11.287,11.389,18.6471,15.4334
3,"n23g0012.hpc.itc.rwth-aachen.de",3,"3",1,0000:2c:00.0,"OK",4096,16777216,20,11.097,11.7465,11.7415,11.252,11.916,12.5243,12.5807,10.7681
3,"n23g0012.hpc.itc.rwth-aachen.de",3,"3",2,0000:9d:00.0,"OK",4096,16777216,20,12.088,12.376,12.429,12.06,12.6085,12.6464,18.4065,8.68727
3,"n23g0012.hpc.itc.rwth-aachen.de",3,"3",3,0000:ad:00.0,"OK",4096,16777216,20,12.605,13.007,13.6731,12.523,12.8375,12.853,17.9785,9.43911
4,"n23g0012.hpc.itc.rwth-aachen.de",4,"4",0,0000:1b:00.0,"OK",4096,16777216,20,10.435,10.986,11.0017,10.903,11.2355,11.2222,18.6127,15.4838
4,"n23g0012.hpc.itc.rwth-aachen.de",4,"4",1,0000:2c:00.0,"OK",4096,16777216,20,10.997,11.6395,11.5959,11.555,11.972,12.5824,12.5719,10.8191
4,"n23g0012.hpc.itc.rwth-aachen.de",4,"4",2,0000:9d:00.0,"OK",4096,16777216,20,12.129,12.814,13.2548,12.252,12.815,12.7803,18.7164,8.71856
4,"n23g0012.hpc.itc.rwth-aachen.de",4,"4",3,0000:ad:00.0,"OK",4096,16777216,20,12.55,12.852,12.9273,12.434,12.9395,12.9187,18.3148,8.95844
5,"n23g0012.hpc.itc.rwth-aachen.de",5,"5",0,0000:1b:00.0,"OK",4096,16777216,20,10.526,11.0895,12.0576,10.85,11.429,11.4521,18.5794,15.4535
5,"n23g0012.hpc.itc.rwth-aachen.de",5,"5",1,0000:2c:00.0,"OK",4096,16777216,20,11.231,11.5825,11.6553,11.155,11.981,12.3482,12.5361,10.8381
5,"n23g0012.hpc.itc.rwth-aachen.de",5,"5",2,0000:9d:00.0,"OK",4096,16777216,20,12.155,12.549,13.1876,12.088,12.5835,12.5984,18.6214,9.59578
5,"n23g0012.hpc.itc.rwth-aachen.de",5,"5",3,0000:ad:00.0,"OK",4096,16777216,20,12.323,12.83,12.8227,12.417,12.909,12.9045,18.3679,9.65055
6,"n23g0012.hpc.itc.rwth-aachen.de",6,"6",0,0000:1b:00.0,"OK",4096,16777216,20,10.807,11.3155,11.3012,10.99,11.476,11.6524,18.5724,15.4949
6,"n23g0012.hpc.itc.rwth-aachen.de",6,"6",1,0000:2c:00.0,"OK",4096,16777216,20,11.057,11.695,12.3325,11.451,11.88,11.8977,12.5575,10.8433
6,"n23g0012.hpc.itc.rwth-aachen.de",6,"6",2,0000:9d:00.0,"OK",4096,16777216,20,11.703,12.3975,12.3694,12.169,12.7915,12.7062,18.4453,9.65116
6,"n23g0012.hpc.itc.rwth-aachen.de",6,"6",3,0000:ad:00.0,"OK",4096,16777216,20,12.02,12.643,12.6001,12.327,12.8555,12.8988,18.0965,9.63043
7,"n23g0012.hpc.itc.rwth-aachen.de",7,"7",0,0000:1b:00.0,"OK",4096,16777216,20,10.879,11.1355,11.1673,10.968,11.39,11.8134,18.5968,15.4819
7,"n23g0012.hpc.itc.rwth-aachen.de",7,"7",1,0000:2c:00.0,"OK",4096,16777216,20,11.063,11.602,11.5958,11.397,11.773,12.3037,12.5599,10.8357
7,"n23g0012.hpc.itc.rwth-aachen.de",7,"7",2,0000:9d:00.0,"OK",4096,16777216,20,12.149,12.4685,12.6191,11.946,12.6635,13.4047,18.7445,9.64728
7,"n23g0012.hpc.itc.rwth-aachen.de",7,"7",3,0000:ad:00.0,"OK",4096,16777216,20,12.427,12.703,12.8121,12.416,13.0335,14.1033,18.4705,8.70083
