rank_i,host_i,cpu_i,affinity_i,rank_j,host_j,cpu_j,affinity_j,small_bytes,large_bytes,warmup,iters,latency_min_us,latency_mean_us,latency_median_us,latency_max_us,bandwidth_median_gbps,bandwidth_mean_gbps
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",64,6220800,5,10,0.164,0.25605,0.252,0.4185,11.4751,11.2794
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",2,"n23m0350.hpc.itc.rwth-aachen.de",2,"2",64,6220800,5,10,0.169,0.18885,0.1755,0.2625,11.0792,11.1331
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",3,"n23m0350.hpc.itc.rwth-aachen.de",3,"3",64,6220800,5,10,0.171,0.2271,0.186,0.559,11.0886,11.0239
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",4,"n23m0350.hpc.itc.rwth-aachen.de",4,"4",64,6220800,5,10,0.1765,0.21625,0.21425,0.2575,11.3862,11.3367
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",5,"n23m0350.hpc.itc.rwth-aachen.de",5,"5",64,6220800,5,10,0.177,0.2077,0.18775,0.286,11.4741,11.3244
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",6,"n23m0350.hpc.itc.rwth-aachen.de",6,"6",64,6220800,5,10,0.183,0.2261,0.202,0.341,10.8717,10.8856
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",7,"n23m0350.hpc.itc.rwth-aachen.de",7,"7",64,6220800,5,10,0.178,0.24525,0.24575,0.4215,11.1332,11.1225
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",8,"n23m0350.hpc.itc.rwth-aachen.de",8,"8",64,6220800,5,10,0.1825,0.34025,0.27225,0.6525,11.4488,11.3378
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",9,"n23m0350.hpc.itc.rwth-aachen.de",9,"9",64,6220800,5,10,0.1945,0.22075,0.20325,0.32,10.9669,10.9767
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",10,"n23m0350.hpc.itc.rwth-aachen.de",10,"10",64,6220800,5,10,0.188,0.26735,0.219,0.4845,10.9991,10.8815
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",11,"n23m0350.hpc.itc.rwth-aachen.de",11,"11",64,6220800,5,10,0.1855,0.21875,0.2005,0.2955,10.9477,11.046
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",12,"n23m0350.hpc.itc.rwth-aachen.de",12,"12",64,6220800,5,10,0.195,0.2893,0.20625,0.528,11.1935,11.272
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",13,"n23m0350.hpc.itc.rwth-aachen.de",13,"13",64,6220800,5,10,0.2055,0.2305,0.2175,0.294,11.639,11.7586
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",14,"n23m0350.hpc.itc.rwth-aachen.de",14,"14",64,6220800,5,10,0.2015,0.2693,0.208,0.5605,11.3643,11.4839
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",15,"n23m0350.hpc.itc.rwth-aachen.de",15,"15",64,6220800,5,10,0.2095,0.3073,0.28575,0.622,11.3103,11.4183
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",16,"n23m0350.hpc.itc.rwth-aachen.de",16,"16",64,6220800,5,10,0.194,0.22405,0.2085,0.2865,11.4099,11.4785
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",17,"n23m0350.hpc.itc.rwth-aachen.de",17,"17",64,6220800,5,10,0.2115,0.3017,0.27475,0.4915,11.7244,11.7509
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",18,"n23m0350.hpc.itc.rwth-aachen.de",18,"18",64,6220800,5,10,0.207,0.30355,0.2245,0.602,11.6263,11.754
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",19,"n23m0350.hpc.itc.rwth-aachen.de",19,"19",64,6220800,5,10,0.196,0.30065,0.26225,0.5065,10.7885,10.8817
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",20,"n23m0350.hpc.itc.rwth-aachen.de",20,"20",64,6220800,5,10,0.1955,0.25545,0.212,0.4465,11.2736,11.3978
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",21,"n23m0350.hpc.itc.rwth-aachen.de",21,"21",64,6220800,5,10,0.2065,0.30105,0.2375,0.6475,11.6549,11.7272
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",22,"n23m0350.hpc.itc.rwth-aachen.de",22,"22",64,6220800,5,10,0.2005,0.28085,0.21075,0.483,11.6434,11.7417
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",23,"n23m0350.hpc.itc.rwth-aachen.de",23,"23",64,6220800,5,10,0.2085,0.26095,0.213,0.46,11.279,11.3968
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",24,"n23m0350.hpc.itc.rwth-aachen.de",24,"24",64,6220800,5,10,0.219,0.3025,0.31275,0.4335,11.4769,11.6164
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",25,"n23m0350.hpc.itc.rwth-aachen.de",25,"25",64,6220800,5,10,0.2115,0.32145,0.3065,0.495,11.4326,11.5241
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",26,"n23m0350.hpc.itc.rwth-aachen.de",26,"26",64,6220800,5,10,0.227,0.3162,0.2955,0.4835,11.1582,11.1432
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",27,"n23m0350.hpc.itc.rwth-aachen.de",27,"27",64,6220800,5,10,0.223,0.27755,0.23275,0.499,11.3112,11.3806
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",28,"n23m0350.hpc.itc.rwth-aachen.de",28,"28",64,6220800,5,10,0.2055,0.2263,0.2125,0.3305,11.5173,11.625
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",29,"n23m0350.hpc.itc.rwth-aachen.de",29,"29",64,6220800,5,10,0.2205,0.2535,0.2345,0.3585,11.638,11.6394
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",30,"n23m0350.hpc.itc.rwth-aachen.de",30,"30",64,6220800,5,10,0.221,0.24895,0.23325,0.3355,11.3757,11.4764
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",31,"n23m0350.hpc.itc.rwth-aachen.de",31,"31",64,6220800,5,10,0.215,0.3129,0.308,0.5435,11.4734,11.5859
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",32,"n23m0350.hpc.itc.rwth-aachen.de",32,"32",64,6220800,5,10,0.2115,0.255,0.22275,0.353,11.3307,11.456
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",33,"n23m0350.hpc.itc.rwth-aachen.de",33,"33",64,6220800,5,10,0.216,0.30875,0.3215,0.4685,11.4579,11.5247
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",34,"n23m0350.hpc.itc.rwth-aachen.de",34,"34",64,6220800,5,10,0.2125,0.47765,0.2345,2.3965,11.4448,11.5776
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",35,"n23m0350.hpc.itc.rwth-aachen.de",35,"35",64,6220800,5,10,0.214,0.2685,0.244,0.369,11.298,11.4382
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",36,"n23m0350.hpc.itc.rwth-aachen.de",36,"36",64,6220800,5,10,0.24,0.30355,0.297,0.4055,10.5582,10.6733
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",37,"n23m0350.hpc.itc.rwth-aachen.de",37,"37",64,6220800,5,10,0.241,0.3265,0.2495,0.7215,10.3713,10.4088
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",38,"n23m0350.hpc.itc.rwth-aachen.de",38,"38",64,6220800,5,10,0.232,0.29595,0.245,0.4015,10.3952,10.4998
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",39,"n23m0350.hpc.itc.rwth-aachen.de",39,"39",64,6220800,5,10,0.234,0.28065,0.2495,0.405,10.5676,10.7074
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",40,"n23m0350.hpc.itc.rwth-aachen.de",40,"40",64,6220800,5,10,0.2375,0.38565,0.3885,0.5195,9.95829,10.0555
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",41,"n23m0350.hpc.itc.rwth-aachen.de",41,"41",64,6220800,5,10,0.2375,0.27955,0.252,0.401,10.3204,10.4325
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",42,"n23m0350.hpc.itc.rwth-aachen.de",42,"42",64,6220800,5,10,0.2365,0.3358,0.35475,0.478,10.1541,10.2738
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",43,"n23m0350.hpc.itc.rwth-aachen.de",43,"43",64,6220800,5,10,0.2315,0.2585,0.24025,0.3475,10.5594,10.598
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",44,"n23m0350.hpc.itc.rwth-aachen.de",44,"44",64,6220800,5,10,0.2425,0.3888,0.331,0.7485,10.1291,10.2267
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",45,"n23m0350.hpc.itc.rwth-aachen.de",45,"45",64,6220800,5,10,0.24,0.2847,0.2505,0.4115,10.4706,10.542
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",46,"n23m0350.hpc.itc.rwth-aachen.de",46,"46",64,6220800,5,10,0.2335,0.3504,0.32175,0.712,10.3119,10.4195
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",47,"n23m0350.hpc.itc.rwth-aachen.de",47,"47",64,6220800,5,10,0.243,0.3655,0.33725,0.6535,10.2363,10.378
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",48,"n23m0350.hpc.itc.rwth-aachen.de",48,"48",64,6220800,5,10,0.3755,0.8771,0.83225,1.193,11.2112,10.3609
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",49,"n23m0350.hpc.itc.rwth-aachen.de",49,"49",64,6220800,5,10,0.415,0.88285,0.914,1.2135,12.4529,12.1733
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",50,"n23m0350.hpc.itc.rwth-aachen.de",50,"50",64,6220800,5,10,0.4405,0.9726,0.98675,1.3155,12.3083,12.3592
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",51,"n23m0350.hpc.itc.rwth-aachen.de",51,"51",64,6220800,5,10,0.5465,1.14945,1.13125,2.338,12.3586,12.3083
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",52,"n23m0350.hpc.itc.rwth-aachen.de",52,"52",64,6220800,5,10,0.8255,0.9722,0.91125,1.2145,12.2639,12.3232
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",53,"n23m0350.hpc.itc.rwth-aachen.de",53,"53",64,6220800,5,10,0.739,1.03645,1.05,1.2695,12.2349,12.3287
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",54,"n23m0350.hpc.itc.rwth-aachen.de",54,"54",64,6220800,5,10,0.5915,1.23945,1.0595,3.8085,11.3979,11.4581
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",55,"n23m0350.hpc.itc.rwth-aachen.de",55,"55",64,6220800,5,10,0.415,0.87145,0.87125,1.219,12.1251,12.1178
